setpoint[rad],position[rad],velocity[rad/s],acceleration[rad/s^2],current[mA],delta_t [ms]
0.00,3.69,0.00,nan,-2.69,0.00
2.66,3.69,0.00,nan,-1304.65,1.81
2.66,3.68,0.00,nan,-1086.76,2.61
2.66,3.67,-0.02,nan,-1202.43,2.45
2.66,3.66,-0.07,nan,-828.52,2.50
2.66,3.65,-0.19,nan,-540.69,2.50
2.66,3.63,-0.31,nan,-352.39,2.49
2.66,3.61,-0.55,nan,-223.27,2.50
2.66,3.60,-0.74,nan,-164.09,2.51
2.66,3.58,-1.10,nan,-126.43,2.49
2.66,3.56,-1.34,nan,-96.84,2.50
2.66,3.54,-1.80,nan,-75.32,2.51
2.66,3.52,-2.11,nan,-64.56,2.48
2.66,3.50,-2.61,nan,-67.25,2.51
2.66,3.48,-2.95,nan,-51.11,2.49
2.66,3.46,-3.50,nan,-45.73,2.50
2.66,3.44,-3.86,nan,-53.80,2.51
2.66,3.42,-4.36,nan,-45.73,2.49
2.66,3.40,-4.70,nan,-40.35,2.58
2.66,3.39,-5.13,nan,-45.73,2.42
2.66,3.37,-5.40,nan,-45.73,2.50
2.66,3.35,-5.73,nan,-37.66,2.58
2.66,3.33,-5.92,nan,-40.35,2.47
2.66,3.31,-6.19,nan,-51.11,2.45
3.09,3.29,-6.33,nan,-34.97,2.49
3.09,3.27,-6.52,nan,546.07,2.50
3.09,3.26,-6.64,nan,-236.72,2.50
3.09,3.24,-6.76,nan,-234.03,2.51
3.09,3.22,-6.83,nan,-172.16,2.50
3.09,3.20,-6.93,nan,-115.67,2.53
3.09,3.18,-6.95,nan,-91.46,2.46
3.09,3.16,-7.03,nan,-80.70,2.53
3.09,3.14,-7.05,nan,-69.94,2.46
3.09,3.12,-7.10,nan,234.03,2.50
3.09,3.11,-7.10,nan,796.24,2.50
3.09,3.10,-7.12,nan,1124.42,2.50
3.09,3.09,-7.12,nan,1143.25,2.51
3.09,3.08,-7.05,nan,989.92,2.48
3.09,3.08,-6.95,nan,702.09,2.50
3.09,3.08,-6.79,nan,438.47,2.51
3.09,3.08,-6.62,nan,242.10,2.57
3.09,3.08,-6.31,nan,53.80,2.43
3.09,3.09,-5.92,nan,-80.70,2.95
3.09,3.09,-5.64,nan,-110.29,2.04
3.09,3.09,-5.32,nan,-158.71,2.78
3.09,3.09,-4.82,nan,-150.64,2.22
3.09,3.09,-3.50,nan,-10.76,7.47
3.09,3.09,-3.12,nan,16.14,1.76
3.09,3.09,-2.45,nan,16.14,4.19
3.09,3.09,-2.28,nan,13.45,0.88
3.09,3.09,-1.99,nan,5.38,2.50
3.09,3.09,-1.32,nan,0.00,5.14
3.09,3.09,-1.22,nan,0.00,1.25
3.09,3.09,-1.13,nan,0.00,1.10
3.09,3.09,-0.98,nan,0.00,2.52
3.09,3.09,-0.82,nan,0.00,2.49
3.09,3.09,-0.72,nan,-2.69,2.48
3.09,3.09,-0.60,nan,-2.69,2.51
