setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
0.00,4.64,0.00,0.00,1.26,nan
0.00,4.64,0.00,-403.50,0.69,nan
0.00,4.64,0.00,-1648.97,2.56,nan
0.00,4.63,-0.02,-1191.67,2.50,nan
0.00,4.62,-0.07,-769.34,2.51,nan
0.00,4.60,-0.19,-500.34,2.50,nan
0.00,4.59,-0.31,-325.49,2.49,nan
0.00,4.57,-0.55,-220.58,2.50,nan
0.00,4.55,-0.77,-158.71,2.55,nan
0.00,4.53,-1.13,-104.91,2.48,nan
0.00,4.51,-1.39,-80.70,2.50,nan
0.00,4.49,-1.85,-75.32,2.47,nan
0.00,4.47,-2.16,-64.56,2.50,nan
0.00,4.45,-2.69,-48.42,2.50,nan
0.00,4.43,-3.05,-48.42,2.50,nan
0.00,4.41,-3.60,-51.11,2.50,nan
0.00,4.40,-3.96,-37.66,2.54,nan
0.00,4.38,-4.48,-37.66,2.46,nan
0.00,4.36,-4.82,-43.04,2.55,nan
0.00,4.34,-5.25,-40.35,2.45,nan
0.00,4.32,-5.52,-32.28,2.52,nan
0.00,4.30,-5.85,-40.35,2.49,nan
0.00,4.28,-6.07,-40.35,2.56,nan
0.00,4.26,-6.31,-32.28,2.44,nan
0.00,4.24,-6.45,-37.66,2.51,nan
0.00,4.22,-6.64,-45.73,2.49,nan
0.00,4.20,-6.76,-32.28,2.50,nan
0.00,4.18,-6.91,-37.66,2.50,nan
0.00,4.16,-6.98,-43.04,2.50,nan
0.00,4.15,-7.07,-34.97,2.53,nan
0.00,4.13,-7.15,-32.28,2.48,nan
0.00,4.11,-7.22,-43.04,2.50,nan
0.00,4.09,-7.24,-40.35,2.50,nan
0.00,4.07,-7.29,-32.28,2.52,nan
0.00,4.05,-7.34,-34.97,2.50,nan
0.00,4.03,-7.36,-45.73,2.47,nan
0.00,4.01,-7.39,-32.28,2.50,nan
0.00,3.99,-7.41,-32.28,2.50,nan
0.00,3.97,-7.43,-43.04,2.50,nan
0.00,3.95,-7.46,-37.66,2.50,nan
0.00,3.93,-7.46,-34.97,2.50,nan
0.00,3.92,-7.48,-43.04,2.50,nan
0.00,3.90,-7.48,-40.35,2.50,nan
0.00,3.88,-7.51,-29.59,2.51,nan
0.00,3.86,-7.51,-37.66,2.52,nan
0.00,3.84,-7.51,-45.73,2.48,nan
0.00,3.82,-7.53,-29.59,2.50,nan
0.00,3.80,-7.53,-34.97,2.50,nan
0.00,3.78,-7.53,-43.04,2.52,nan
0.00,3.76,-7.53,-34.97,2.47,nan
0.00,3.74,-7.55,-34.97,2.52,nan
0.00,3.72,-7.55,-43.04,2.48,nan
0.00,3.71,-7.55,-37.66,2.53,nan
0.00,3.69,-7.55,-32.28,2.47,nan
0.00,3.67,-7.55,-40.35,2.50,nan
0.00,3.65,-7.55,-40.35,2.50,nan
0.00,3.63,-7.55,-32.28,2.50,nan
0.00,3.61,-7.55,-34.97,2.54,nan
0.00,3.59,-7.55,-40.35,2.53,nan
0.00,3.57,-7.55,-34.97,2.48,nan
0.00,3.55,-7.55,-32.28,2.47,nan
0.00,3.53,-7.55,-40.35,2.56,nan
0.00,3.51,-7.55,-43.04,2.45,nan
0.00,3.49,-7.55,-29.59,2.52,nan
0.00,3.47,-7.55,-37.66,2.48,nan
0.00,3.46,-7.55,-40.35,2.54,nan
0.00,3.43,-7.55,-32.28,2.46,nan
0.00,3.42,-7.55,-37.66,2.55,nan
0.00,3.40,-7.55,-48.42,2.45,nan
0.00,3.38,-7.55,-34.97,2.49,nan
0.00,3.36,-7.55,-34.97,2.50,nan
0.00,3.34,-7.55,-40.35,2.50,nan
0.00,3.32,-7.55,-37.66,2.50,nan
0.00,3.30,-7.55,-29.59,2.51,nan
0.00,3.28,-7.55,-40.35,2.49,nan
0.00,3.26,-7.55,-34.97,2.51,nan
0.00,3.24,-7.55,-32.28,2.51,nan
0.00,3.22,-7.53,-37.66,2.49,nan
0.00,3.20,-7.53,-43.04,2.50,nan
0.00,3.18,-7.53,-29.59,2.48,nan
0.00,3.17,-7.53,-37.66,2.60,nan
0.00,3.15,-7.53,-43.04,2.41,nan
0.00,3.13,-7.53,-34.97,2.51,nan
0.00,3.11,-7.53,-34.97,2.49,nan
0.00,3.09,-7.55,-40.35,2.52,nan
0.00,3.07,-7.55,-40.35,2.48,nan
0.00,3.05,-7.55,-32.28,2.51,nan
0.00,3.03,-7.55,-34.97,2.49,nan
0.00,3.01,-7.55,-40.35,2.50,nan
0.00,2.99,-7.55,-32.28,2.50,nan
0.00,2.97,-7.58,-34.97,2.50,nan
0.00,2.95,-7.58,-45.73,2.50,nan
0.00,2.93,-7.58,-32.28,2.50,nan
0.00,2.92,-7.58,-34.97,2.51,nan
0.00,2.90,-7.58,-40.35,2.49,nan
0.00,2.88,-7.58,-40.35,2.50,nan
0.00,2.86,-7.60,-29.59,2.49,nan
0.00,2.84,-7.60,-40.35,2.50,nan
0.00,2.82,-7.60,-40.35,2.51,nan
0.00,2.80,-7.60,-32.28,2.49,nan
0.00,2.78,-7.60,-32.28,2.51,nan
0.00,2.76,-7.60,-43.04,2.50,nan
0.00,2.74,-7.60,-29.59,2.50,nan
0.00,2.72,-7.60,-34.97,2.50,nan
0.00,2.70,-7.63,-40.35,2.50,nan
0.00,2.68,-7.63,-40.35,2.50,nan
0.00,2.66,-7.63,-29.59,2.55,nan
0.00,2.65,-7.63,-40.35,2.47,nan
0.00,2.63,-7.63,-40.35,2.49,nan
0.00,2.61,-7.63,-32.28,2.48,nan
3.58,2.59,-7.63,-34.97,2.55,nan
3.58,2.57,-7.63,2948.24,2.45,nan
3.53,2.57,-7.60,2800.29,2.53,nan
3.53,2.57,-7.51,1853.41,2.48,nan
3.46,2.58,-7.36,1151.32,2.51,nan
3.46,2.60,-7.05,720.92,2.48,nan
3.39,2.62,-6.76,465.37,2.52,nan
3.39,2.63,-6.19,309.35,2.48,nan
3.30,2.65,-5.76,212.51,2.50,nan
3.30,2.67,-4.99,142.57,2.49,nan
3.21,2.69,-4.41,102.22,2.55,nan
3.21,2.71,-3.48,83.39,2.45,nan
3.12,2.72,-2.81,69.94,2.51,nan
3.12,2.74,-1.75,48.42,2.49,nan
3.03,2.76,-1.01,48.42,2.51,nan
3.03,2.78,0.07,53.80,2.50,nan
2.94,2.80,0.79,40.35,2.52,nan
2.94,2.82,1.80,37.66,2.48,nan
2.86,2.84,2.40,45.73,2.49,nan
2.86,2.86,3.21,-2017.50,2.50,nan
2.79,2.87,3.67,-1412.25,2.50,nan
2.79,2.87,4.24,-2267.67,2.50,nan
2.73,2.86,4.51,-1810.37,2.55,nan
2.73,2.85,4.75,-1167.46,2.45,nan
2.68,2.84,4.80,-742.44,2.50,nan
2.68,2.82,4.68,-478.82,2.50,nan
2.65,2.81,4.48,-314.73,2.55,nan
2.65,2.79,4.08,-204.44,2.45,nan
2.64,2.77,3.69,-137.19,2.48,nan
2.64,2.75,3.02,-104.91,2.50,nan
2.65,2.73,2.52,-88.77,2.50,nan
2.65,2.71,1.65,-61.87,2.51,nan
2.67,2.69,1.03,-13.45,2.50,nan
2.67,2.68,0.05,1492.95,2.50,nan
2.71,2.67,-0.58,1476.81,2.52,nan
2.71,2.66,-1.49,2394.10,2.48,nan
2.77,2.66,-2.01,1885.69,2.52,nan
2.77,2.68,-2.61,1221.26,2.49,nan
2.84,2.69,-2.88,780.10,2.51,nan
2.92,2.70,-3.07,494.96,2.49,nan
2.92,2.72,-3.09,330.87,2.49,nan
2.92,2.74,-2.93,223.27,2.50,nan
3.01,2.76,-2.69,145.26,2.50,nan
3.01,2.78,-2.23,107.60,2.50,nan
3.10,2.79,-1.82,88.77,2.50,nan
3.10,2.81,-1.10,69.94,2.50,nan
3.19,2.83,-0.55,51.11,2.50,nan
3.19,2.85,0.29,51.11,2.51,nan
3.29,2.87,0.91,53.80,2.49,nan
3.29,2.89,1.80,37.66,2.50,nan
3.38,2.91,2.37,40.35,2.49,nan
3.38,2.93,3.17,45.73,2.50,nan
3.46,2.95,3.62,37.66,2.51,nan
3.46,2.97,4.27,34.97,2.49,nan
3.52,2.99,4.63,43.04,2.50,nan
3.52,3.01,5.11,40.35,2.50,nan
3.58,3.03,5.40,32.28,2.50,nan
3.58,3.05,5.76,37.66,2.51,nan
3.62,3.06,5.97,43.04,2.48,nan
3.62,3.08,6.24,32.28,2.51,nan
3.64,3.10,6.40,37.66,2.51,nan
3.64,3.12,6.59,43.04,2.50,nan
3.64,3.14,6.71,34.97,2.50,nan
3.64,3.16,6.86,32.28,2.49,nan
3.62,3.18,6.93,40.35,2.50,nan
3.62,3.20,7.05,37.66,2.50,nan
3.59,3.22,7.10,29.59,2.52,nan
3.59,3.24,7.19,34.97,2.48,nan
