setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
0.00,3.18,0.00,0.00,1.24,nan
0.00,3.18,0.00,-965.71,1.34,nan
0.00,3.18,0.00,-1608.62,2.60,nan
0.00,3.17,-0.02,-1105.59,2.46,nan
0.00,3.15,-0.07,-707.47,2.50,nan
0.00,3.14,-0.22,-465.37,2.50,nan
0.00,3.12,-0.36,-309.35,2.51,nan
0.00,3.10,-0.60,-217.89,2.48,nan
0.00,3.08,-0.82,-153.33,2.50,nan
0.00,3.07,-1.18,-110.29,2.50,nan
0.00,3.05,-1.44,-88.77,2.53,nan
0.00,3.03,-1.89,-86.08,2.46,nan
0.00,3.01,-2.21,-61.87,2.50,nan
0.00,2.99,-2.71,-53.80,2.50,nan
0.00,2.97,-3.07,-59.18,2.50,nan
0.00,2.95,-3.62,-53.80,2.49,nan
0.00,2.93,-3.98,-43.04,2.50,nan
0.00,2.91,-4.51,-48.42,2.55,nan
0.00,2.89,-4.82,-51.11,2.45,nan
0.00,2.87,-5.23,-40.35,2.50,nan
0.00,2.85,-5.49,-45.73,2.50,nan
0.00,2.84,-5.83,-53.80,2.51,nan
0.00,2.82,-6.02,-40.35,2.50,nan
0.00,2.80,-6.28,-43.04,2.49,nan
0.00,2.78,-6.43,-48.42,2.51,nan
0.00,2.76,-6.62,-45.73,2.49,nan
0.00,2.74,-6.74,-40.35,2.50,nan
0.00,2.72,-6.86,-45.73,2.50,nan
0.00,2.70,-6.95,-45.73,2.50,nan
0.00,2.68,-7.07,-40.35,2.50,nan
0.00,2.66,-7.12,-40.35,2.50,nan
0.00,2.64,-7.22,-51.11,2.56,nan
0.00,2.62,-7.27,-37.66,2.44,nan
0.00,2.61,-7.31,-40.35,2.52,nan
0.00,2.58,-7.34,-48.42,2.48,nan
0.00,2.56,-7.39,-43.04,2.49,nan
0.00,2.55,-7.43,-37.66,2.50,nan
0.00,2.53,-7.46,-45.73,2.52,nan
0.00,2.51,-7.48,-43.04,2.48,nan
0.00,2.49,-7.51,-37.66,2.50,nan
0.00,2.47,-7.53,-43.04,2.55,nan
0.00,2.45,-7.55,-51.11,2.45,nan
0.00,2.43,-7.55,-37.66,2.54,nan
0.00,2.41,-7.58,-40.35,2.46,nan
0.00,2.39,-7.58,-51.11,2.56,nan
0.00,2.38,-7.58,-37.66,2.45,nan
0.00,2.36,-7.60,-37.66,2.55,nan
0.00,2.34,-7.60,-45.73,2.44,nan
0.00,2.32,-7.60,-43.04,2.50,nan
0.00,2.30,-7.63,-37.66,2.50,nan
0.00,2.28,-7.63,-45.73,2.50,nan
0.00,2.26,-7.63,-48.42,2.50,nan
0.00,2.24,-7.63,-37.66,2.54,nan
0.00,2.22,-7.63,-40.35,2.46,nan
0.00,2.20,-7.65,-51.11,2.59,nan
0.00,2.18,-7.65,-40.35,2.41,nan
0.00,2.16,-7.65,-40.35,2.54,nan
0.00,2.14,-7.67,-48.42,2.46,nan
0.00,2.12,-7.67,-43.04,2.50,nan
0.00,2.11,-7.70,-37.66,2.50,nan
0.00,2.09,-7.70,-45.73,2.50,nan
0.00,2.07,-7.70,-45.73,2.49,nan
0.00,2.05,-7.70,-37.66,2.52,nan
0.00,2.03,-7.72,-45.73,2.48,nan
0.00,2.01,-7.72,-48.42,2.53,nan
0.00,1.99,-7.72,-37.66,2.48,nan
0.00,1.97,-7.72,-40.35,2.49,nan
0.00,1.95,-7.75,-48.42,2.50,nan
0.00,1.93,-7.75,-37.66,2.49,nan
0.00,1.91,-7.75,-40.35,2.50,nan
0.00,1.89,-7.75,-48.42,2.50,nan
0.00,1.87,-7.75,-45.73,2.50,nan
0.00,1.85,-7.77,-37.66,2.51,nan
0.00,1.83,-7.77,-48.42,2.49,nan
0.00,1.82,-7.77,-48.42,2.50,nan
0.00,1.80,-7.77,-37.66,2.49,nan
0.00,1.78,-7.77,-40.35,2.50,nan
0.00,1.76,-7.77,-51.11,2.50,nan
0.00,1.74,-7.77,-37.66,2.49,nan
0.00,1.71,-7.77,-51.11,2.69,nan
2.51,1.70,-7.77,-51.11,2.32,nan
2.51,1.68,-7.77,3018.18,2.49,nan
2.51,1.68,-7.75,2784.15,2.50,nan
2.51,1.69,-7.65,1813.06,2.50,nan
2.51,1.70,-7.51,1121.73,2.50,nan
2.51,1.71,-7.15,699.40,2.50,nan
2.51,1.73,-6.86,446.54,2.50,nan
2.51,1.74,-6.28,295.90,2.50,nan
2.51,1.76,-5.83,201.75,2.50,nan
2.51,1.78,-5.04,139.88,2.50,nan
2.51,1.80,-4.46,91.46,2.54,nan
2.51,1.82,-3.50,75.32,2.46,nan
2.51,1.84,-2.83,67.25,2.55,nan
2.51,1.86,-1.75,51.11,2.45,nan
2.51,1.87,-1.01,40.35,2.53,nan
2.51,1.89,0.10,45.73,2.47,nan
2.51,1.91,0.82,40.35,2.50,nan
2.51,1.94,2.16,40.35,3.79,nan
2.51,1.95,2.45,32.28,1.21,nan
2.51,1.97,3.29,37.66,2.54,nan
2.51,1.99,3.76,24.21,2.50,nan
2.51,2.01,4.39,29.59,2.46,nan
2.51,2.03,4.77,34.97,2.53,nan
2.51,2.05,5.25,26.90,2.47,nan
2.51,2.07,5.54,24.21,2.54,nan
2.51,2.09,5.90,32.28,2.46,nan
2.51,2.11,6.12,29.59,2.61,nan
2.51,2.12,6.38,21.52,2.40,nan
2.51,2.14,6.55,29.59,2.54,nan
3.13,2.16,6.74,34.97,2.45,nan
3.13,2.18,6.86,21.52,2.57,nan
3.13,2.20,7.00,29.59,2.43,nan
3.13,2.22,7.10,34.97,2.51,nan
3.13,2.24,7.19,26.90,2.55,nan
3.13,2.26,7.27,26.90,2.45,nan
3.13,2.28,7.34,37.66,2.53,nan
3.13,2.30,7.39,29.59,2.49,nan
3.13,2.32,7.46,24.21,2.48,nan
3.13,2.34,7.48,32.28,2.49,nan
3.13,2.36,7.53,34.97,2.50,nan
3.13,2.38,7.55,21.52,2.50,nan
3.13,2.40,7.58,29.59,2.50,nan
3.13,2.41,7.58,37.66,2.51,nan
3.13,2.43,7.60,26.90,2.50,nan
