setpoint[rad],position[rad],velocity[rad/s],acceleration[rad/s^2],current[mA],delta_t [ms]
3.03,2.44,-6.31,nan,903.84,2.50
3.03,2.46,-5.78,nan,529.93,2.53
3.03,2.48,-5.13,nan,303.97,3.15
3.03,2.49,-4.63,nan,242.10,1.82
3.03,2.51,-4.08,nan,156.02,2.52
3.03,2.53,-3.19,nan,115.67,2.51
3.03,2.54,-2.54,nan,91.46,2.42
3.03,2.56,-1.56,nan,64.56,2.53
3.03,2.58,-0.89,nan,48.42,2.52
3.03,2.61,0.07,nan,51.11,2.52
3.03,2.63,1.01,nan,32.28,2.48
3.03,2.65,1.63,nan,34.97,2.54
3.03,2.67,2.47,nan,37.66,2.50
3.03,2.68,3.02,nan,37.66,2.44
3.03,2.72,4.15,nan,26.90,4.91
3.03,2.73,4.34,nan,21.52,1.18
2.95,2.74,4.53,nan,34.97,1.44
2.95,2.76,5.04,nan,26.90,2.49
2.95,2.78,5.35,nan,21.52,2.50
2.95,2.80,5.73,nan,32.28,2.50
2.95,2.82,5.95,nan,24.21,2.50
2.95,2.84,6.33,nan,34.97,3.48
2.95,2.86,6.47,nan,34.97,1.63
2.95,2.87,6.62,nan,32.28,2.39
2.95,2.89,6.74,nan,18.83,2.50
2.95,2.91,6.88,nan,-164.09,2.52
2.95,2.93,6.98,nan,-710.16,2.49
2.95,2.95,7.10,nan,-1078.69,2.49
2.95,2.96,7.12,nan,-1207.81,2.51
2.95,2.96,7.12,nan,-1003.37,2.50
2.95,2.96,7.10,nan,-772.03,2.51
2.95,2.96,6.95,nan,-538.00,2.48
2.95,2.96,6.81,nan,-274.38,2.50
2.95,2.96,6.50,nan,-61.87,2.52
2.95,2.95,5.83,nan,142.57,5.14
2.95,2.95,5.52,nan,164.09,1.52
3.97,2.95,5.35,nan,137.19,1.45
3.97,2.95,4.82,nan,1632.83,2.48
3.97,2.96,4.63,nan,1648.97,1.87
3.97,2.97,3.91,nan,941.50,3.42
3.97,2.99,3.60,nan,645.60,1.64
3.97,3.00,3.31,nan,416.95,2.50
3.97,3.03,2.90,nan,228.65,3.92
3.97,3.04,2.78,nan,169.47,1.65
3.97,3.05,2.76,nan,142.57,1.93
3.97,3.07,2.73,nan,94.15,2.48
3.97,3.09,2.81,nan,69.94,2.46
3.97,3.11,2.97,nan,56.49,2.58
3.97,3.13,3.26,nan,37.66,2.50
3.97,3.16,3.62,nan,37.66,3.56
3.97,3.18,4.20,nan,40.35,3.47
3.97,3.20,4.34,nan,34.97,1.86
3.97,3.21,4.63,nan,29.59,1.14
3.97,3.22,4.92,nan,29.59,2.44
3.97,3.24,5.18,nan,34.97,2.46
3.97,3.26,5.54,nan,26.90,2.54
3.97,3.28,5.76,nan,24.21,2.48
3.78,3.30,6.04,nan,32.28,2.51
3.78,3.32,6.21,nan,26.90,2.52
3.78,3.34,6.43,nan,18.83,2.46
3.78,3.36,6.55,nan,26.90,2.50
3.78,3.38,6.71,nan,21.52,2.54
3.78,3.39,6.81,nan,18.83,2.48
3.78,3.42,6.93,nan,26.90,2.48
3.78,3.44,7.05,nan,24.21,2.55
3.78,3.45,7.10,nan,21.52,2.46
3.78,3.47,7.15,nan,26.90,2.54
3.78,3.49,7.22,nan,32.28,2.46
3.78,3.51,7.27,nan,24.21,2.51
3.78,3.53,7.31,nan,21.52,2.49
3.78,3.55,7.34,nan,29.59,2.52
3.78,3.57,7.39,nan,24.21,2.48
3.78,3.59,7.41,nan,21.52,2.50
3.78,3.61,7.43,nan,29.59,2.50
3.78,3.63,7.46,nan,29.59,2.52
3.78,3.65,7.46,nan,18.83,2.52
3.78,3.67,7.48,nan,32.28,2.49
4.58,3.69,7.51,nan,21.52,2.51
4.58,3.71,7.51,nan,21.52,2.42
4.58,3.72,7.53,nan,24.21,2.54
4.58,3.74,7.53,nan,32.28,2.50
4.58,3.77,7.53,nan,18.83,2.55
4.58,3.79,7.55,nan,29.59,2.52
4.58,3.80,7.55,nan,32.28,2.44
4.58,3.82,7.55,nan,26.90,2.50
4.58,3.84,7.55,nan,26.90,2.64
4.58,3.86,7.55,nan,29.59,2.33
4.58,3.88,7.55,nan,29.59,2.54
4.58,3.90,7.55,nan,18.83,2.50
4.58,3.92,7.55,nan,26.90,2.47
4.58,3.93,7.55,nan,32.28,2.51
4.58,3.95,7.55,nan,21.52,2.52
4.58,3.97,7.55,nan,26.90,2.48
4.58,3.99,7.55,nan,32.28,2.49
4.58,4.01,7.55,nan,24.21,2.48
4.58,4.03,7.55,nan,21.52,2.53
4.58,4.05,7.55,nan,29.59,2.49
2.79,4.07,7.55,nan,24.21,2.50
2.79,4.09,7.55,nan,-3026.25,2.52
2.79,4.09,7.53,nan,-2800.29,2.49
2.79,4.08,7.46,nan,-1807.68,2.50
2.79,4.07,7.27,nan,-1043.72,2.53
2.79,4.06,7.05,nan,-737.06,2.47
2.79,4.04,6.62,nan,-473.44,2.53
2.79,4.02,6.04,nan,-277.07,2.50
2.79,4.01,5.59,nan,-207.13,2.46
2.79,3.99,5.08,nan,-158.71,2.51
2.79,3.97,4.24,nan,-118.36,2.50
2.79,3.95,3.62,nan,-83.39,2.51
2.79,3.93,2.64,nan,-69.94,2.52
2.79,3.92,1.94,nan,-69.94,2.47
2.79,3.90,0.84,nan,-51.11,2.52
2.79,3.88,0.10,nan,-51.11,2.47
2.79,3.86,-0.94,nan,-53.80,2.51
2.79,3.83,-1.92,nan,-40.35,2.61
2.79,3.82,-2.49,nan,-45.73,2.42
2.79,3.80,-3.05,nan,-45.73,2.47
2.38,3.78,-3.76,nan,-34.97,2.60
2.38,3.76,-4.36,nan,-43.04,2.45
2.38,3.74,-4.72,nan,-40.35,2.46
2.38,3.72,-5.20,nan,-40.35,2.51
2.38,3.70,-5.59,nan,-45.73,3.48
2.38,3.68,-5.71,nan,-37.66,1.52
2.38,3.66,-6.02,nan,-43.04,2.49
2.38,3.64,-6.19,nan,-37.66,2.50
2.38,3.63,-6.43,nan,-37.66,2.48
2.38,3.61,-6.55,nan,-45.73,2.47
2.38,3.59,-6.74,nan,-40.35,2.53
2.38,3.57,-6.83,nan,-34.97,2.52
2.38,3.54,-6.95,nan,-45.73,2.55
2.38,3.53,-7.03,nan,-45.73,2.45
2.38,3.51,-7.12,nan,-34.97,2.51
2.38,3.49,-7.22,nan,-48.42,2.49
2.38,3.47,-7.27,nan,-34.97,2.51
2.38,3.45,-7.31,nan,-37.66,2.51
2.38,3.43,-7.34,nan,-37.66,2.48
2.38,3.41,-7.39,nan,-40.35,2.51
3.37,3.39,-7.41,nan,-37.66,2.50
3.37,3.37,-7.46,nan,3007.42,2.50
3.37,3.37,-7.46,nan,2033.64,2.48
3.37,3.37,-7.39,nan,416.95,2.53
3.37,3.37,-7.15,nan,177.54,4.13
3.37,3.37,-6.98,nan,118.36,2.06
3.37,3.37,-6.88,nan,72.63,1.64
3.37,3.37,-6.40,nan,0.00,3.44
3.37,3.37,-5.32,nan,-48.42,6.81
3.37,3.37,-4.96,nan,-18.83,2.55
3.37,3.37,-4.41,nan,-8.07,2.53
3.37,3.37,-4.03,nan,-5.38,2.62
3.37,3.37,-3.43,nan,-18.83,2.90
3.37,3.37,-3.07,nan,0.00,1.98
3.37,3.37,-2.57,nan,-13.45,3.03
3.37,3.37,-2.25,nan,-2.69,2.00
3.37,3.37,-1.63,nan,0.00,5.26
3.36,3.37,-1.44,nan,0.00,1.68
3.36,3.37,-1.37,nan,-99.53,1.12
3.36,3.37,-1.20,nan,-322.80,1.93
3.36,3.37,-1.01,nan,-150.64,2.48
3.36,3.37,-0.89,nan,-21.52,2.52
3.36,3.36,-0.67,nan,126.43,5.49
3.36,3.36,-0.60,nan,104.91,2.59
3.36,3.36,-0.55,nan,104.91,2.49
3.36,3.36,-0.50,nan,53.80,3.68
3.36,3.36,-0.48,nan,56.49,1.31
3.36,3.36,-0.46,nan,0.00,2.49
3.36,3.36,-0.41,nan,-32.28,2.54
3.36,3.36,-0.38,nan,-24.21,2.48
3.36,3.36,-0.36,nan,-13.45,2.50
3.36,3.36,-0.36,nan,-8.07,2.47
3.36,3.36,-0.31,nan,-2.69,2.50
3.36,3.36,-0.31,nan,-2.69,2.50
3.36,3.36,-0.26,nan,-2.69,2.52
3.36,3.36,-0.22,nan,-2.69,2.56
1.64,3.36,-0.19,nan,-2.69,2.42
1.64,3.36,-0.17,nan,-1527.92,2.49
1.64,3.35,-0.14,nan,-1420.32,2.56
1.64,3.34,-0.17,nan,-936.12,2.46
1.64,3.32,-0.24,nan,-602.56,2.48
1.64,3.31,-0.34,nan,-400.81,2.51
1.64,3.29,-0.53,nan,-266.31,2.50
1.64,3.27,-0.70,nan,-177.54,2.49
1.64,3.26,-1.03,nan,-131.81,2.51
1.64,3.24,-1.27,nan,-107.60,2.51
1.64,3.22,-1.68,nan,-80.70,2.47
1.64,3.20,-1.97,nan,-61.87,2.56
1.64,3.18,-2.47,nan,-61.87,2.44
1.64,3.16,-2.81,nan,-56.49,2.52
1.64,3.14,-3.33,nan,-45.73,2.53
1.64,3.12,-3.72,nan,-45.73,2.50
1.64,3.10,-4.24,nan,-53.80,2.44
1.64,3.08,-4.58,nan,-40.35,2.56
1.64,3.06,-5.04,nan,-48.42,2.77
1.64,3.04,-5.42,nan,-45.73,2.64
3.03,3.03,-5.66,nan,-43.04,2.17
3.03,3.01,-5.88,nan,3010.11,2.37
3.03,3.01,-6.12,nan,2410.24,2.50
3.03,3.01,-6.21,nan,1006.06,2.49
3.03,3.02,-6.24,nan,352.39,2.50
3.03,3.02,-6.16,nan,21.52,2.52
3.03,3.03,-5.95,nan,-234.03,2.51
3.03,3.03,-5.76,nan,-312.04,2.52
3.03,3.03,-5.37,nan,-336.25,2.46
3.03,3.04,-5.06,nan,-271.69,2.53
3.03,3.04,-4.58,nan,-244.79,2.59
3.03,3.04,-4.05,nan,-126.43,2.89
3.03,3.03,-3.67,nan,-88.77,2.07
3.03,3.03,-3.09,nan,5.38,2.43
3.03,3.03,-1.82,nan,40.35,7.47
3.03,3.03,-1.56,nan,21.52,2.60
3.03,3.03,-1.13,nan,5.38,3.90
3.99,3.03,-0.96,nan,10.76,2.17
3.99,3.03,-0.84,nan,1328.86,1.69
