setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
0.00,2.26,0.00,0.00,0.00,nan
2.81,2.26,0.00,-1640.90,2.86,nan
2.81,2.26,0.00,1713.53,2.61,nan
2.81,2.26,-0.02,1926.04,2.45,nan
2.81,2.27,-0.05,1291.20,2.50,nan
2.81,2.28,0.00,823.14,2.51,nan
2.81,2.30,0.02,524.55,2.51,nan
2.81,2.31,0.17,344.32,2.50,nan
2.81,2.33,0.31,225.96,2.49,nan
2.81,2.35,0.60,153.33,2.50,nan
2.81,2.37,0.82,115.67,2.50,nan
2.81,2.39,1.20,91.46,2.50,nan
2.81,2.41,1.49,67.25,2.51,nan
2.81,2.42,1.94,51.11,2.55,nan
2.81,2.44,2.28,53.80,2.44,nan
2.81,2.46,2.83,48.42,2.49,nan
2.81,2.48,3.21,34.97,2.52,nan
2.81,2.50,3.79,37.66,2.48,nan
2.81,2.52,4.15,43.04,2.52,nan
2.81,2.54,4.68,32.28,2.49,nan
2.81,2.55,4.99,32.28,2.49,nan
3.19,2.57,5.40,40.35,2.49,nan
3.19,2.59,5.64,34.97,2.52,nan
3.19,2.61,5.95,29.59,2.47,nan
3.19,2.63,6.14,37.66,2.51,nan
3.19,2.65,6.38,40.35,2.49,nan
3.19,2.67,6.50,26.90,2.50,nan
3.19,2.69,6.69,34.97,2.50,nan
3.19,2.71,6.79,40.35,2.53,nan
3.19,2.73,6.93,29.59,2.47,nan
3.19,2.75,7.00,29.59,2.53,nan
3.19,2.77,7.10,37.66,2.47,nan
3.19,2.78,7.15,32.28,2.55,nan
3.19,2.80,7.22,26.90,2.44,nan
3.19,2.82,7.27,34.97,2.50,nan
3.19,2.84,7.34,37.66,2.50,nan
3.19,2.86,7.36,26.90,2.52,nan
3.19,2.88,7.39,32.28,2.48,nan
3.19,2.90,7.41,40.35,2.50,nan
3.19,2.92,7.46,29.59,2.50,nan
3.19,2.94,7.46,26.90,2.50,nan
3.19,2.96,7.48,37.66,2.51,nan
3.19,2.98,7.51,32.28,2.53,nan
3.19,3.00,7.53,26.90,2.45,nan
3.19,3.02,7.53,34.97,2.52,nan
3.19,3.04,7.53,40.35,2.52,nan
3.19,3.05,7.55,24.21,2.52,nan
3.19,3.07,7.55,32.28,2.44,nan
3.19,3.09,7.55,37.66,2.56,nan
3.19,3.11,7.55,29.59,2.46,nan
3.19,3.13,7.55,26.90,2.49,nan
3.19,3.15,7.58,-88.77,2.51,nan
3.19,3.17,7.58,-656.36,2.51,nan
3.19,3.18,7.55,-1032.96,2.49,nan
3.19,3.19,7.53,-1113.66,2.50,nan
3.19,3.20,7.46,-1024.89,2.50,nan
3.19,3.20,7.34,-761.27,2.85,nan
3.19,3.20,7.19,-527.24,2.15,nan
3.19,3.20,7.03,-290.52,2.51,nan
3.19,3.20,6.69,-83.39,2.53,nan
3.19,3.20,6.43,53.80,2.46,nan
3.19,3.19,6.00,126.43,2.50,nan
3.19,3.19,5.66,164.09,2.50,nan
3.19,3.19,5.13,129.12,2.51,nan
3.19,3.19,4.75,126.43,2.51,nan
4.32,3.19,4.17,80.70,2.48,nan
4.32,3.19,3.76,1562.89,2.50,nan
4.32,3.20,3.21,1369.21,2.50,nan
4.32,3.21,2.88,898.46,2.56,nan
4.32,3.23,2.47,570.28,2.43,nan
4.32,3.24,2.28,360.46,2.50,nan
4.32,3.26,2.11,234.03,2.50,nan
4.32,3.28,2.09,169.47,2.49,nan
4.32,3.30,2.13,126.43,2.50,nan
