setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
0.00,3.77,0.00,0.00,1.05,nan
0.00,3.77,0.00,-408.88,1.00,nan
0.00,3.77,0.00,-1657.04,2.59,nan
0.00,3.76,-0.02,-1207.81,2.50,nan
0.00,3.75,-0.07,-790.86,2.50,nan
0.00,3.73,-0.19,-511.10,2.48,nan
0.00,3.71,-0.31,-333.56,2.52,nan
0.00,3.70,-0.55,-231.34,2.48,nan
0.00,3.68,-0.74,-172.16,2.51,nan
0.00,3.66,-1.08,-118.36,2.49,nan
0.00,3.64,-1.34,-86.08,2.53,nan
0.00,3.62,-1.80,-80.70,2.49,nan
0.00,3.60,-2.11,-67.25,2.48,nan
0.00,3.58,-2.61,-51.11,2.51,nan
0.00,3.56,-2.97,-51.11,2.55,nan
0.00,3.54,-3.53,-53.80,2.43,nan
0.00,3.53,-3.88,-37.66,2.54,nan
0.00,3.51,-4.41,-40.35,2.47,nan
0.00,3.49,-4.72,-48.42,2.49,nan
0.00,3.47,-5.16,-40.35,2.56,nan
0.00,3.45,-5.42,-37.66,2.48,nan
0.00,3.43,-5.76,-48.42,2.48,nan
0.00,3.41,-5.97,-43.04,2.52,nan
0.00,3.39,-6.24,-37.66,2.49,nan
0.00,3.37,-6.38,-45.73,2.51,nan
0.00,3.35,-6.57,-43.04,2.50,nan
0.00,3.33,-6.69,-37.66,2.54,nan
0.00,3.31,-6.83,-43.04,2.45,nan
0.00,3.29,-6.91,-48.42,2.49,nan
0.00,3.27,-7.03,-37.66,2.51,nan
0.00,3.25,-7.07,-37.66,2.50,nan
0.00,3.23,-7.17,-51.11,2.48,nan
0.00,3.22,-7.22,-37.66,2.52,nan
0.00,3.20,-7.27,-37.66,2.48,nan
0.00,3.18,-7.31,-48.42,2.52,nan
0.00,3.16,-7.36,-40.35,2.48,nan
0.00,3.14,-7.39,-37.66,2.51,nan
0.00,3.12,-7.41,-45.73,2.50,nan
0.00,3.10,-7.43,-43.04,2.49,nan
0.00,3.08,-7.46,-34.97,2.50,nan
0.00,3.06,-7.48,-43.04,2.50,nan
0.00,3.04,-7.51,-45.73,2.50,nan
0.00,3.02,-7.51,-34.97,2.49,nan
0.00,3.00,-7.53,-43.04,2.50,nan
0.00,2.98,-7.55,-51.11,2.52,nan
0.00,2.96,-7.55,-37.66,2.49,nan
0.00,2.95,-7.55,-40.35,2.50,nan
0.00,2.93,-7.58,-48.42,2.49,nan
0.00,2.91,-7.58,-37.66,2.50,nan
0.00,2.89,-7.60,-37.66,2.50,nan
0.00,2.87,-7.60,-45.73,2.50,nan
0.00,2.85,-7.60,-40.35,2.50,nan
0.00,2.83,-7.60,-34.97,2.50,nan
0.00,2.81,-7.60,-43.04,2.50,nan
0.00,2.79,-7.60,-40.35,2.49,nan
0.00,2.77,-7.63,-34.97,2.50,nan
0.00,2.75,-7.63,-40.35,2.50,nan
0.00,2.73,-7.63,-45.73,2.50,nan
0.00,2.71,-7.63,-37.66,2.50,nan
0.00,2.69,-7.63,-37.66,2.51,nan
0.00,2.67,-7.65,-48.42,2.53,nan
0.00,2.65,-7.65,-34.97,2.47,nan
0.00,2.64,-7.65,-37.66,2.50,nan
0.00,2.62,-7.65,-48.42,2.52,nan
0.00,2.60,-7.65,-40.35,2.48,nan
0.00,2.58,-7.65,-37.66,2.50,nan
0.00,2.56,-7.65,-45.73,2.50,nan
0.00,2.54,-7.67,-43.04,2.49,nan
0.00,2.52,-7.67,-32.28,2.53,nan
0.00,2.50,-7.67,-43.04,2.48,nan
0.00,2.48,-7.67,-45.73,2.52,nan
0.00,2.46,-7.67,-34.97,2.50,nan
0.00,2.44,-7.67,-40.35,2.50,nan
0.00,2.42,-7.67,-45.73,2.50,nan
0.00,2.40,-7.67,-34.97,2.52,nan
0.00,2.38,-7.67,-37.66,2.48,nan
0.00,2.37,-7.70,-45.73,2.50,nan
0.00,2.34,-7.70,-37.66,2.50,nan
0.00,2.33,-7.70,-37.66,2.52,nan
0.00,2.31,-7.70,-45.73,2.48,nan
0.00,2.29,-7.70,-37.66,2.52,nan
0.00,2.27,-7.70,-34.97,2.48,nan
0.00,2.25,-7.72,-43.04,2.52,nan
0.00,2.23,-7.72,-43.04,2.48,nan
0.00,2.21,-7.72,-34.97,2.51,nan
0.00,2.19,-7.72,-43.04,2.50,nan
0.00,2.17,-7.75,-43.04,2.52,nan
0.00,2.15,-7.75,-34.97,2.49,nan
0.00,2.13,-7.75,-37.66,2.50,nan
0.00,2.11,-7.75,-45.73,2.49,nan
0.00,2.09,-7.75,-34.97,2.52,nan
0.00,2.07,-7.75,-37.66,2.47,nan
0.00,2.05,-7.77,-48.42,2.52,nan
0.00,2.03,-7.77,-37.66,2.48,nan
0.00,2.01,-7.77,-34.97,2.54,nan
0.00,1.99,-7.77,-45.73,2.46,nan
0.00,1.98,-7.77,-40.35,2.50,nan
0.00,1.96,-7.77,-34.97,2.50,nan
0.00,1.94,-7.77,-43.04,2.53,nan
0.00,1.92,-7.77,-43.04,2.47,nan
0.00,1.90,-7.77,-34.97,2.52,nan
0.00,1.88,-7.79,-40.35,2.47,nan
0.00,1.86,-7.79,-48.42,2.54,nan
0.00,1.84,-7.79,-34.97,2.46,nan
0.00,1.82,-7.79,-37.66,2.50,nan
0.00,1.80,-7.79,-48.42,2.51,nan
0.00,1.78,-7.79,-34.97,2.50,nan
0.00,1.76,-7.79,-37.66,2.49,nan
0.00,1.74,-7.79,-45.73,2.54,nan
0.00,1.72,-7.79,-37.66,2.46,nan
0.00,1.71,-7.82,-34.97,2.56,nan
0.00,1.69,-7.82,-43.04,2.44,nan
0.00,1.67,-7.82,-40.35,2.47,nan
0.00,1.65,-7.79,-34.97,2.55,nan
0.00,1.63,-7.79,-43.04,2.52,nan
3.33,1.61,-7.79,-43.04,2.46,nan
3.33,1.59,-7.79,2983.21,2.52,nan
3.36,1.59,-7.77,2781.46,2.47,nan
3.36,1.60,-7.70,1802.30,2.50,nan
3.39,1.60,-7.51,1132.49,2.50,nan
3.39,1.62,-7.29,715.54,2.53,nan
3.42,1.64,-6.83,457.30,2.49,nan
3.42,1.65,-6.45,287.83,2.51,nan
3.45,1.67,-5.76,196.37,2.48,nan
3.45,1.69,-5.25,145.26,2.49,nan
3.48,1.71,-4.39,99.53,2.50,nan
3.49,1.72,-3.74,64.56,2.51,nan
3.49,1.74,-2.73,59.18,2.50,nan
3.49,1.76,-2.01,53.80,2.51,nan
3.52,1.78,-0.89,34.97,2.50,nan
3.53,1.80,-0.12,34.97,2.50,nan
3.54,1.82,0.96,37.66,2.50,nan
3.55,1.84,1.65,29.59,2.50,nan
3.57,1.86,2.59,24.21,2.50,nan
3.57,1.88,3.14,32.28,2.50,nan
3.59,1.90,3.86,29.59,2.49,nan
3.60,1.92,4.29,21.52,2.50,nan
3.60,1.94,4.87,26.90,2.51,nan
3.60,1.96,5.20,32.28,2.49,nan
3.62,1.97,5.61,16.14,2.49,nan
3.62,1.99,5.88,26.90,2.59,nan
3.63,2.01,6.19,32.28,2.40,nan
3.63,2.03,6.35,21.52,2.51,nan
3.63,2.05,6.59,26.90,2.50,nan
3.63,2.07,6.74,32.28,2.53,nan
3.64,2.09,6.91,24.21,2.47,nan
3.64,2.11,7.03,21.52,2.51,nan
3.64,2.13,7.15,32.28,2.49,nan
3.64,2.15,7.22,26.90,2.53,nan
3.64,2.17,7.34,18.83,2.56,nan
3.64,2.19,7.39,26.90,2.44,nan
3.64,2.21,7.46,32.28,2.48,nan
3.64,2.23,7.51,18.83,2.51,nan
3.63,2.25,7.55,24.21,2.50,nan
3.63,2.27,7.58,32.28,2.51,nan
3.62,2.29,7.63,21.52,2.48,nan
3.62,2.31,7.63,24.21,2.52,nan
3.61,2.33,7.65,32.28,2.47,nan
3.61,2.35,7.67,24.21,2.56,nan
3.60,2.37,7.70,21.52,2.45,nan
3.60,2.38,7.70,32.28,2.54,nan
3.58,2.40,7.72,26.90,2.45,nan
3.58,2.42,7.72,18.83,2.60,nan
3.56,2.44,7.72,29.59,2.39,nan
3.56,2.46,7.72,29.59,2.52,nan
3.54,2.48,7.72,21.52,2.48,nan
3.54,2.50,7.75,24.21,2.50,nan
3.51,2.52,7.75,29.59,2.51,nan
3.51,2.54,7.75,18.83,2.58,nan
3.48,2.56,7.72,26.90,2.40,nan
3.48,2.58,7.72,29.59,2.54,nan
3.45,2.60,7.72,18.83,2.46,nan
3.45,2.62,7.72,24.21,2.53,nan
3.42,2.64,7.72,32.28,2.48,nan
3.42,2.65,7.72,24.21,2.52,nan
3.39,2.67,7.72,21.52,2.48,nan
3.39,2.69,7.72,32.28,2.51,nan
3.35,2.71,7.72,24.21,2.48,nan
3.35,2.73,7.72,18.83,2.49,nan
3.32,2.75,7.72,26.90,2.49,nan
3.32,2.77,7.72,29.59,2.50,nan
