setpoint[rad],position[rad],velocity[rad/s],acceleration[rad/s^2],current[mA],delta_t [ms]
0.00,3.17,0.00,nan,0.00,0.00
2.95,3.17,0.00,nan,-914.60,1.47
2.95,3.17,0.00,nan,1250.85,2.56
2.95,3.16,0.00,nan,-1589.79,2.50
2.95,3.16,0.00,nan,-1409.56,2.50
2.95,3.14,-0.07,nan,-936.12,2.52
2.95,3.13,-0.14,nan,-602.56,2.52
2.95,3.11,-0.29,nan,-395.43,2.50
2.95,3.10,-0.46,nan,-255.55,2.50
2.95,3.08,-0.72,nan,-180.23,2.46
2.95,3.06,-0.94,nan,-139.88,2.53
2.95,3.04,-1.32,nan,-107.60,2.51
2.95,3.02,-1.61,nan,-78.01,2.45
2.95,3.01,-2.06,nan,-67.25,2.51
2.95,2.99,-2.40,nan,333.56,2.50
2.95,2.97,-2.93,nan,906.53,2.50
3.40,2.96,-3.29,nan,1113.66,2.58
3.40,2.95,-3.76,nan,2477.49,2.46
3.40,2.95,-4.05,nan,2033.64,2.45
3.40,2.96,-4.34,nan,1328.86,2.52
3.40,2.97,-4.44,nan,839.28,2.50
3.40,2.99,-4.41,nan,535.31,2.53
3.40,3.01,-4.29,nan,349.70,2.49
3.40,3.03,-3.96,nan,225.96,2.52
3.40,3.04,-3.65,nan,150.64,2.47
3.40,3.06,-3.05,nan,110.29,2.67
3.40,3.08,-2.57,nan,91.46,2.33
3.40,3.10,-1.75,nan,64.56,2.51
3.40,3.12,-1.18,nan,48.42,2.49
3.40,3.14,-0.22,nan,51.11,2.49
3.40,3.16,0.38,nan,40.35,2.49
3.40,3.17,1.34,nan,29.59,2.52
3.40,3.19,1.94,nan,34.97,2.60
3.40,3.21,2.78,nan,34.97,2.39
3.40,3.23,3.29,nan,24.21,2.50
3.40,3.25,3.96,nan,29.59,2.50
3.40,3.27,4.34,nan,37.66,2.50
3.64,3.29,4.87,nan,24.21,2.51
3.64,3.31,5.16,nan,26.90,2.47
3.64,3.33,5.54,nan,34.97,2.51
3.64,3.35,5.78,nan,26.90,2.50
3.64,3.39,6.31,nan,32.28,5.78
3.64,3.41,6.45,nan,21.52,2.57
3.64,3.43,6.64,nan,29.59,2.50
3.64,3.45,6.79,nan,24.21,2.55
3.64,3.47,6.88,nan,26.90,2.48
3.64,3.49,7.00,nan,34.97,2.50
3.64,3.51,7.07,nan,34.97,2.48
3.64,3.53,7.15,nan,21.52,2.60
3.64,3.55,7.19,nan,26.90,2.40
3.64,3.56,7.24,nan,34.97,2.49
3.64,3.59,7.29,nan,21.52,2.52
3.64,3.60,7.34,nan,-212.51,2.48
3.64,3.62,7.36,nan,-895.77,2.54
3.64,3.63,7.39,nan,-1089.45,2.46
3.47,3.64,7.39,nan,-1183.60,2.53
3.47,3.65,7.34,nan,-2227.32,2.46
3.47,3.64,7.19,nan,-1702.77,2.52
3.47,3.63,7.05,nan,-1229.33,2.49
3.47,3.62,6.71,nan,-790.86,2.50
3.47,3.60,6.24,nan,-459.99,2.56
3.47,3.59,5.85,nan,-325.49,2.45
3.47,3.57,5.42,nan,-212.51,2.52
3.47,3.55,4.65,nan,-150.64,2.50
3.47,3.53,4.08,nan,-123.74,2.47
3.47,3.51,3.14,nan,13.45,2.49
3.47,3.50,2.47,nan,589.11,2.50
3.47,3.48,1.46,nan,1022.20,2.54
3.47,3.47,0.77,nan,1119.04,2.45
3.47,3.46,-0.19,nan,1054.48,2.50
3.47,3.46,-0.79,nan,841.97,2.52
3.47,3.46,-1.56,nan,500.34,2.56
3.47,3.46,-1.97,nan,328.18,2.44
3.47,3.46,-2.45,nan,88.77,2.52
3.47,3.47,-2.64,nan,-8.07,2.49
3.02,3.47,-2.83,nan,-72.63,2.51
3.02,3.47,-2.85,nan,-1702.77,2.47
3.02,3.46,-2.78,nan,-1326.17,3.21
3.02,3.45,-2.69,nan,-928.05,1.82
3.02,3.43,-2.59,nan,-594.49,2.50
3.02,3.42,-2.52,nan,-419.64,2.48
3.02,3.40,-2.42,nan,-282.45,2.51
3.02,3.38,-2.37,nan,-204.44,2.48
3.02,3.37,-2.37,nan,-142.57,2.50
3.02,3.34,-2.49,nan,-102.22,2.52
3.02,3.32,-2.61,nan,-83.39,2.50
3.02,3.30,-2.88,nan,-61.87,2.50
3.02,3.29,-3.09,nan,-56.49,2.48
3.02,3.27,-3.33,nan,-51.11,2.51
3.02,3.25,-3.76,nan,-48.42,2.51
3.02,3.23,-4.24,nan,-45.73,2.52
3.02,3.21,-4.56,nan,-45.73,2.50
3.02,3.19,-4.99,nan,-43.04,2.59
3.02,3.16,-5.37,nan,-43.04,3.28
3.02,3.15,-5.59,nan,-45.73,1.89
2.68,3.13,-5.80,nan,-45.73,2.31
2.68,3.11,-6.09,nan,-34.97,2.42
2.68,3.09,-6.26,nan,-37.66,2.50
2.68,3.06,-6.59,nan,-40.35,4.85
2.68,3.05,-6.64,nan,-43.04,1.51
2.68,3.04,-6.71,nan,-37.66,1.11
2.68,3.02,-6.86,nan,-37.66,2.50
2.68,3.00,-6.93,nan,-45.73,2.50
2.68,2.98,-7.05,nan,-37.66,2.50
2.68,2.96,-7.12,nan,-43.04,2.52
2.68,2.94,-7.19,nan,-40.35,2.50
2.68,2.92,-7.27,nan,-34.97,2.51
2.68,2.90,-7.31,nan,-45.73,2.82
2.68,2.88,-7.34,nan,-45.73,2.15
2.68,2.86,-7.41,nan,-34.97,2.55
2.68,2.84,-7.43,nan,-34.97,2.46
2.68,2.82,-7.46,nan,-43.04,2.49
2.68,2.80,-7.51,nan,-34.97,2.51
2.68,2.78,-7.53,nan,-34.97,2.48
2.68,2.76,-7.55,nan,-45.73,2.59
2.73,2.75,-7.55,nan,-45.73,2.41
2.73,2.73,-7.58,nan,2012.12,2.52
2.73,2.72,-7.58,nan,1627.45,2.50
2.73,2.72,-7.51,nan,1127.11,2.50
2.73,2.72,-7.41,nan,710.16,2.51
2.73,2.72,-7.29,nan,441.16,2.49
2.73,2.72,-7.00,nan,115.67,2.52
2.73,2.73,-6.76,nan,-56.49,2.46
2.73,2.73,-6.35,nan,-156.02,2.51
2.73,2.73,-6.04,nan,-172.16,2.52
2.73,2.73,-5.52,nan,-174.85,2.47
2.73,2.73,-5.13,nan,-158.71,2.50
2.73,2.73,-4.56,nan,-99.53,2.50
2.73,2.73,-3.96,nan,-48.42,2.52
2.73,2.73,-3.53,nan,-13.45,2.47
2.73,2.73,-3.14,nan,21.52,2.50
2.73,2.73,-2.57,nan,32.28,2.51
2.73,2.73,-1.92,nan,8.07,3.87
2.73,2.73,-1.65,nan,2.69,1.76
2.73,2.73,-1.44,nan,0.00,1.97
3.15,2.73,-1.25,nan,0.00,2.40
3.15,2.73,-1.01,nan,1627.45,2.52
3.15,2.74,-0.86,nan,1409.56,2.50
3.15,2.75,-0.74,nan,919.98,2.49
3.15,2.77,-0.50,nan,594.49,2.56
3.15,2.78,-0.31,nan,384.67,2.42
3.15,2.80,-0.02,nan,250.17,2.51
3.15,2.82,0.19,nan,158.71,2.52
3.15,2.84,0.60,nan,118.36,2.57
3.15,2.86,0.91,nan,94.15,2.42
3.15,2.88,1.39,nan,67.25,2.51
3.15,2.89,1.73,nan,51.11,2.54
3.15,2.92,2.28,nan,51.11,2.50
3.15,2.93,2.64,nan,40.35,2.44
3.15,2.95,3.24,nan,32.28,2.56
3.15,2.97,3.62,nan,34.97,2.45
3.15,3.00,4.17,nan,26.90,2.53
3.15,3.01,4.53,nan,26.90,2.52
3.15,3.03,5.01,nan,32.28,2.45
3.15,3.05,5.28,nan,34.97,2.49
3.56,3.07,5.66,nan,24.21,2.58
3.56,3.09,5.88,nan,26.90,2.44
3.56,3.11,6.16,nan,29.59,2.50
3.56,3.13,6.31,nan,29.59,2.48
3.56,3.15,6.52,nan,29.59,2.57
3.56,3.16,6.64,nan,32.28,2.47
3.56,3.18,6.81,nan,26.90,2.47
3.56,3.20,6.91,nan,21.52,2.49
3.56,3.22,7.03,nan,26.90,2.50
3.56,3.25,7.12,nan,26.90,3.43
3.56,3.26,7.17,nan,18.83,1.58
3.56,3.28,7.22,nan,26.90,2.52
3.56,3.30,7.27,nan,32.28,2.49
3.56,3.32,7.31,nan,24.21,2.54
3.56,3.34,7.36,nan,26.90,2.45
3.56,3.37,7.39,nan,21.52,3.41
3.56,3.39,7.43,nan,29.59,2.31
3.56,3.40,7.43,nan,24.21,1.79
3.56,3.42,7.46,nan,32.28,2.52
3.56,3.44,7.48,nan,18.83,2.73
3.59,3.46,7.48,nan,24.21,2.28
3.59,3.48,7.51,nan,32.28,2.51
3.59,3.50,7.51,nan,18.83,2.54
3.59,3.52,7.53,nan,32.28,2.46
3.59,3.54,7.53,nan,34.97,2.48
3.59,3.56,7.53,nan,-177.54,2.70
3.59,3.57,7.55,nan,-624.08,2.29
3.59,3.59,7.53,nan,-1127.11,2.61
3.59,3.60,7.51,nan,-1194.36,2.38
3.59,3.60,7.48,nan,-1089.45,2.49
3.59,3.60,7.36,nan,-750.51,2.53
3.59,3.60,7.15,nan,-511.10,2.67
3.59,3.60,6.98,nan,-328.18,2.30
3.59,3.60,6.76,nan,-86.08,2.52
3.59,3.60,6.35,nan,18.83,2.48
3.59,3.60,5.92,nan,112.98,2.57
3.59,3.59,5.40,nan,153.33,3.04
3.59,3.59,5.23,nan,131.81,1.90
3.59,3.59,4.68,nan,131.81,2.52
3.59,3.59,4.27,nan,75.32,2.48
3.20,3.59,3.67,nan,61.87,2.50
3.20,3.59,3.29,nan,-1579.03,2.51
3.20,3.58,2.73,nan,-1326.17,2.54
3.20,3.57,2.18,nan,-868.87,2.54
3.20,3.56,1.82,nan,-618.70,2.44
3.20,3.54,1.27,nan,-357.77,2.51
3.20,3.52,0.91,nan,-258.24,2.46
3.20,3.51,0.55,nan,-182.92,2.48
3.20,3.49,0.00,nan,-142.57,2.50
3.20,3.46,-0.72,nan,-99.53,3.77
3.20,3.45,-0.91,nan,-80.70,1.70
3.20,3.43,-1.51,nan,-69.94,2.10
3.20,3.41,-1.92,nan,-61.87,2.46
3.20,3.39,-2.33,nan,-45.73,2.49
3.20,3.37,-2.93,nan,-56.49,2.52
3.20,3.35,-3.36,nan,-51.11,2.47
3.20,3.33,-3.96,nan,-37.66,2.53
3.20,3.31,-4.48,nan,-48.42,2.50
3.20,3.29,-4.80,nan,-48.42,2.48
3.20,3.28,-5.11,nan,-34.97,2.52
2.75,3.26,-5.49,nan,-32.28,2.47
2.75,3.24,-5.73,nan,-37.66,2.50
2.75,3.21,-6.12,nan,-40.35,2.85
2.75,3.19,-6.28,nan,-45.73,3.06
2.75,3.18,-6.43,nan,-45.73,1.60
2.75,3.15,-6.59,nan,-34.97,2.54
2.75,3.14,-6.71,nan,-37.66,2.48
2.75,3.12,-6.86,nan,-45.73,2.49
2.75,3.10,-6.93,nan,-45.73,2.49
2.75,3.08,-7.00,nan,-34.97,2.49
2.75,3.06,-7.10,nan,-37.66,2.50
2.75,3.04,-7.15,nan,-48.42,2.49
2.75,3.03,-7.22,nan,-34.97,2.50
2.75,3.01,-7.27,nan,-37.66,2.49
2.75,2.99,-7.34,nan,-45.73,2.54
2.75,2.97,-7.36,nan,-40.35,2.45
2.75,2.95,-7.41,nan,-34.97,2.53
2.75,2.93,-7.43,nan,-45.73,2.47
2.75,2.91,-7.46,nan,-43.04,2.53
2.75,2.89,-7.48,nan,-32.28,2.49
2.67,2.87,-7.51,nan,-43.04,2.48
2.67,2.85,-7.53,nan,-43.04,2.54
2.67,2.83,-7.55,nan,-34.97,2.52
2.67,2.81,-7.55,nan,-40.35,2.43
2.67,2.79,-7.58,nan,-43.04,2.50
2.67,2.77,-7.60,nan,-29.59,2.50
2.67,2.75,-7.60,nan,-34.97,2.49
2.67,2.73,-7.60,nan,-48.42,2.51
2.67,2.71,-7.63,nan,64.56,2.50
2.67,2.69,-7.63,nan,712.85,2.93
2.67,2.68,-7.63,nan,1081.38,2.08
2.67,2.67,-7.63,nan,1175.53,2.49
2.67,2.66,-7.55,nan,1094.83,2.50
2.67,2.66,-7.48,nan,831.21,2.52
2.67,2.66,-7.29,nan,532.62,2.48
2.67,2.66,-7.12,nan,330.87,2.51
2.67,2.66,-6.79,nan,153.33,2.50
2.67,2.67,-6.55,nan,-21.52,2.49
2.67,2.67,-6.09,nan,-126.43,2.53
2.67,2.67,-5.76,nan,-177.54,2.48
3.05,2.67,-5.23,nan,-129.12,2.48
3.05,2.67,-4.84,nan,1444.53,2.52
3.05,2.68,-4.24,nan,1248.16,2.85
3.05,2.70,-3.57,nan,809.69,2.23
3.05,2.71,-3.12,nan,516.48,2.45
3.05,2.73,-2.61,nan,371.22,2.45
3.05,2.74,-1.89,nan,242.10,2.50
3.05,2.76,-1.39,nan,158.71,2.52
3.05,2.78,-0.67,nan,121.05,2.51
3.05,2.81,0.26,nan,75.32,3.57
3.05,2.82,0.50,nan,59.18,1.41
3.05,2.85,1.44,nan,45.73,4.54
3.05,2.87,1.89,nan,34.97,1.15
3.05,2.93,3.86,nan,32.28,9.29
3.05,2.95,4.27,nan,29.59,1.74
3.05,2.97,4.60,nan,24.21,2.61
3.52,3.05,6.16,nan,-1175.53,12.93
3.52,3.07,6.38,nan,850.04,6.01
3.52,3.09,6.38,nan,554.14,2.58
3.52,3.10,6.35,nan,368.53,2.58
3.52,3.12,6.31,nan,247.48,2.42
3.52,3.14,6.28,nan,166.78,2.50
3.52,3.16,6.24,nan,107.60,2.50
3.52,3.18,6.21,nan,83.39,2.58
3.52,3.20,6.16,nan,69.94,2.42
3.52,3.22,6.14,nan,51.11,2.49
3.52,3.24,6.12,nan,43.04,2.96
3.52,3.26,6.12,nan,29.59,3.57
3.52,3.28,6.14,nan,26.90,1.38
3.52,3.29,6.21,nan,24.21,2.11
3.52,3.31,6.33,nan,32.28,2.46
3.52,3.33,6.43,nan,34.97,2.49
3.61,3.35,6.57,nan,18.83,2.50
3.61,3.37,6.67,nan,26.90,2.50
3.61,3.39,6.79,nan,29.59,2.56
3.61,3.41,6.88,nan,24.21,2.43
3.61,3.43,6.98,nan,24.21,2.54
3.61,3.45,7.05,nan,32.28,2.45
3.61,3.47,7.12,nan,24.21,2.54
3.61,3.49,7.17,nan,21.52,2.46
3.61,3.51,7.24,nan,29.59,2.77
3.61,3.52,7.29,nan,29.59,2.26
3.61,3.54,7.34,nan,18.83,2.49
3.61,3.56,7.36,nan,10.76,2.50
3.61,3.58,7.41,nan,-411.57,2.51
3.61,3.60,7.41,nan,-919.98,2.51
3.61,3.61,7.43,nan,-1148.63,2.49
3.61,3.62,7.41,nan,-1175.53,2.50
3.61,3.62,7.34,nan,-965.71,2.50
3.61,3.62,7.24,nan,-659.05,2.49
3.61,3.62,7.03,nan,-392.74,2.51
3.61,3.62,6.83,nan,-190.99,2.50
3.23,3.62,6.47,nan,-45.73,2.52
3.23,3.61,6.19,nan,-1323.48,2.48
3.23,3.60,5.71,nan,-1253.54,2.52
