setpoint [rad], position [rad], velocity [rad/s], current [mA], delta_t [ms]
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.48
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.49
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.49
3.39, 3.39, 0.00, 0.00, 2.52
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.45
3.39, 3.39, 0.00, 0.00, 2.55
3.39, 3.39, 0.00, -13.45, 2.48
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.63
3.39, 3.39, 0.00, 0.00, 2.34
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.49
3.39, 3.39, 0.00, 0.00, 2.56
3.39, 3.39, 0.00, 0.00, 2.46
3.39, 3.39, 0.00, 0.00, 2.52
3.39, 3.39, 0.00, 0.00, 2.47
3.39, 3.39, 0.00, 0.00, 2.52
3.39, 3.39, 0.00, 0.00, 2.48
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.49
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.56
3.39, 3.39, 0.00, 0.00, 2.46
3.39, 3.39, 0.00, 0.00, 2.48
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.49
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, -10.76, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.49
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.52
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.48
3.39, 3.39, 0.00, 0.00, 2.55
3.39, 3.39, 0.00, 0.00, 2.43
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.54
3.39, 3.39, 0.00, 0.00, 2.48
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.47
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.52
3.39, 3.39, 0.00, 0.00, 2.52
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.47
3.39, 3.39, 0.00, 0.00, 2.48
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.55
3.39, 3.39, 0.00, 0.00, 2.44
3.39, 3.39, 0.00, 0.00, 2.51
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.53
3.39, 3.39, 0.00, 0.00, 2.48
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.50
3.39, 3.39, 0.00, 0.00, 2.49
3.39, 3.39, 0.00, 0.00, 2.51
