setpoint [rad], position [rad], velocity [rad/s], acceleration [rad/s^2], current [mA], delta_t [ms]
0.00, 3.19, 0.00, nan, 0.00, 0.00
3.00, 3.19, 0.00, nan, -925.36, 1.70
3.00, 3.18, 0.00, nan, 1487.57, 2.56
3.00, 3.18, 0.00, nan, -1579.03, 2.50
3.00, 3.18, -0.02, nan, -1490.26, 2.50
3.06, 3.16, -0.05, nan, -954.95, 2.50
3.06, 3.15, -0.14, nan, -610.63, 2.50
3.06, 3.13, -0.26, nan, -392.74, 2.51
3.06, 3.12, -0.48, nan, -277.07, 2.51
3.06, 3.10, -0.65, nan, -112.98, 2.49
3.06, 3.08, -0.98, nan, 395.43, 2.51
3.06, 3.07, -1.22, nan, 876.94, 2.49
3.06, 3.06, -1.61, nan, 1035.65, 2.50
3.06, 3.05, -1.87, nan, 1011.44, 2.49
3.06, 3.05, -2.23, nan, 807.00, 2.52
3.06, 3.05, -2.47, nan, 538.00, 2.48
3.06, 3.05, -2.76, nan, 295.90, 2.54
3.06, 3.05, -2.93, nan, 174.85, 2.48
3.06, 3.05, -3.07, nan, 13.45, 2.54
3.06, 3.05, -3.12, nan, -61.87, 2.46
3.06, 3.06, -3.09, nan, -134.50, 2.50
3.06, 3.06, -3.02, nan, -121.05, 2.49
3.06, 3.06, -2.83, nan, -112.98, 2.53
3.06, 3.06, -2.66, nan, -64.56, 2.46
3.06, 3.06, -2.35, nan, -18.83, 2.50
3.52, 3.06, -2.13, nan, 5.38, 2.50
3.52, 3.06, -1.77, nan, 1573.65, 2.51
3.52, 3.06, -1.56, nan, 1417.63, 2.49
3.52, 3.08, -1.22, nan, 917.29, 2.49
3.52, 3.09, -0.98, nan, 581.04, 2.50
3.52, 3.11, -0.60, nan, 379.29, 2.50
3.52, 3.12, -0.34, nan, 247.48, 2.51
3.52, 3.14, 0.07, nan, 166.78, 2.55
3.52, 3.16, 0.36, nan, 129.12, 2.43
3.52, 3.18, 0.82, nan, 107.60, 2.53
3.52, 3.20, 1.15, nan, 88.77, 2.47
3.52, 3.22, 1.68, nan, 67.25, 2.55
3.52, 3.23, 2.04, nan, 67.25, 2.45
3.52, 3.25, 2.59, nan, 67.25, 2.53
3.52, 3.27, 2.97, nan, 56.49, 2.50
3.52, 3.29, 3.55, nan, 48.42, 2.54
3.52, 3.31, 3.91, nan, 56.49, 2.43
3.52, 3.33, 4.41, nan, 59.18, 2.53
3.52, 3.35, 4.72, nan, 43.04, 2.50
3.52, 3.37, 5.16, nan, 51.11, 2.49
3.31, 3.39, 5.40, nan, 56.49, 2.49
3.31, 3.40, 5.73, nan, -3010.11, 2.52
3.31, 3.40, 5.88, nan, -2837.95, 2.46
3.31, 3.40, 6.02, nan, -1815.75, 2.50
3.31, 3.39, 6.02, nan, -1108.28, 2.50
3.31, 3.37, 5.90, nan, -683.26, 2.51
3.31, 3.35, 5.71, nan, -290.52, 2.51
3.31, 3.34, 5.30, nan, 330.87, 2.48
3.31, 3.33, 4.94, nan, 766.65, 2.50
3.31, 3.32, 4.32, nan, 949.57, 2.51
3.31, 3.31, 3.86, nan, 917.29, 2.50
3.31, 3.31, 3.14, nan, 750.51, 2.50
3.31, 3.31, 2.64, nan, 535.31, 2.50
3.31, 3.31, 1.92, nan, 328.18, 2.50
3.31, 3.31, 1.41, nan, 99.53, 2.49
3.31, 3.31, 0.74, nan, 0.00, 2.50
3.31, 3.31, 0.36, nan, -18.83, 2.51
3.31, 3.31, -0.10, nan, -121.05, 2.50
3.31, 3.31, -0.34, nan, -96.84, 2.50
3.31, 3.32, -0.60, nan, -80.70, 3.78
3.36, 3.31, -0.65, nan, -72.63, 1.53
3.36, 3.32, -0.65, nan, 1283.13, 2.19
3.36, 3.32, -0.62, nan, 1277.75, 2.50
3.36, 3.33, -0.48, nan, 462.68, 2.49
3.36, 3.34, -0.36, nan, -139.88, 2.52
3.36, 3.35, -0.12, nan, -476.13, 2.51
3.36, 3.36, 0.02, nan, -578.35, 2.48
3.36, 3.37, 0.26, nan, -594.49, 2.49
3.36, 3.37, 0.41, nan, -470.75, 2.49
3.36, 3.37, 0.62, nan, -390.05, 2.54
3.36, 3.37, 0.74, nan, -247.48, 2.46
3.36, 3.37, 0.89, nan, -118.36, 2.50
3.36, 3.37, 0.96, nan, 0.00, 2.50
3.36, 3.37, 1.06, nan, 13.45, 2.53
3.36, 3.36, 1.10, nan, 102.22, 2.48
3.36, 3.36, 1.15, nan, 78.01, 2.50
3.36, 3.36, 1.15, nan, 45.73, 2.48
3.36, 3.36, 1.10, nan, 24.21, 2.54
3.36, 3.36, 1.03, nan, 16.14, 2.50
3.36, 3.36, 0.91, nan, 16.14, 2.50
3.56, 3.36, 0.79, nan, 0.00, 2.58
3.56, 3.37, 0.70, nan, 1538.68, 2.54
3.56, 3.37, 0.60, nan, 1503.71, 2.38
3.56, 3.38, 0.53, nan, 989.92, 2.48
3.56, 3.40, 0.50, nan, 624.08, 2.49
3.56, 3.42, 0.58, nan, 408.88, 2.50
3.56, 3.43, 0.67, nan, 274.38, 2.50
3.56, 3.45, 0.89, nan, 169.47, 2.64
3.56, 3.47, 1.06, nan, 126.43, 2.36
3.56, 3.49, 1.39, nan, 107.60, 2.50
3.56, 3.51, 1.65, nan, 94.15, 2.50
3.56, 3.53, 2.09, nan, -207.13, 2.59
3.56, 3.54, 2.37, nan, -715.54, 2.41
3.56, 3.55, 2.85, nan, -1054.48, 2.49
3.56, 3.56, 3.19, nan, -1113.66, 2.51
3.56, 3.57, 3.65, nan, -987.23, 2.50
3.56, 3.57, 3.88, nan, -683.26, 2.50
3.56, 3.57, 4.17, nan, -457.30, 2.50
3.56, 3.57, 4.29, nan, -188.30, 2.50
3.56, 3.56, 4.36, nan, -16.14, 2.50
2.62, 3.56, 4.32, nan, 67.25, 2.56
2.62, 3.56, 4.20, nan, -1406.87, 2.53
2.62, 3.55, 4.03, nan, -1256.23, 2.42
2.62, 3.54, 3.67, nan, -815.07, 2.50
2.62, 3.52, 3.38, nan, -516.48, 2.49
2.62, 3.51, 2.83, nan, -336.25, 2.59
2.62, 3.49, 2.40, nan, -228.65, 2.42
2.62, 3.47, 1.68, nan, -172.16, 2.51
2.62, 3.45, 1.18, nan, -126.43, 2.47
2.62, 3.43, 0.41, nan, -88.77, 2.50
2.62, 3.42, -0.07, nan, -75.32, 2.50
2.62, 3.40, -0.82, nan, -75.32, 2.50
2.62, 3.38, -1.32, nan, -59.18, 2.50
2.62, 3.36, -2.04, nan, -51.11, 2.50
2.62, 3.34, -2.49, nan, -56.49, 2.50
2.62, 3.32, -3.17, nan, -53.80, 2.50
2.62, 3.30, -3.60, nan, -43.04, 2.50
2.62, 3.28, -4.17, nan, -43.04, 2.50
2.62, 3.26, -4.51, nan, -51.11, 2.56
2.62, 3.24, -4.96, nan, -48.42, 2.44
3.43, 3.23, -5.25, nan, -37.66, 2.51
3.43, 3.21, -5.59, nan, 3004.73, 2.53
3.43, 3.21, -5.78, nan, 2789.53, 2.48
3.43, 3.22, -5.92, nan, 1788.85, 2.51
3.43, 3.23, -5.95, nan, 1116.35, 2.46
3.43, 3.24, -5.83, nan, 694.02, 2.55
3.43, 3.26, -5.66, nan, 443.85, 2.47
3.43, 3.27, -5.25, nan, 285.14, 2.49
3.43, 3.29, -4.89, nan, 188.30, 2.51
3.43, 3.31, -4.24, nan, 142.57, 2.50
3.43, 3.33, -3.76, nan, 115.67, 2.49
3.43, 3.34, -2.93, nan, 88.77, 2.52
3.43, 3.36, -2.30, nan, 69.94, 2.50
3.43, 3.38, -1.32, nan, -40.35, 2.56
3.43, 3.40, -0.65, nan, -562.21, 2.47
3.43, 3.42, 0.36, nan, -981.85, 2.47
3.43, 3.43, 1.01, nan, -1132.49, 2.50
3.43, 3.43, 1.87, nan, -984.54, 2.51
3.43, 3.43, 2.37, nan, -769.34, 2.49
3.43, 3.43, 2.95, nan, -503.03, 2.49
3.16, 3.43, 3.24, nan, -269.00, 2.50
3.16, 3.43, 3.50, nan, -1452.60, 2.49
3.16, 3.42, 3.57, nan, -1253.54, 2.50
3.16, 3.41, 3.55, nan, -820.45, 2.50
3.16, 3.39, 3.43, nan, -519.17, 2.50
3.16, 3.37, 3.09, nan, -333.56, 2.50
3.16, 3.36, 2.78, nan, -225.96, 2.52
3.16, 3.34, 2.21, nan, -164.09, 2.49
3.16, 3.32, 1.75, nan, -126.43, 2.49
3.16, 3.30, 1.01, nan, -88.77, 2.50
3.16, 3.28, 0.48, nan, -69.94, 2.50
3.16, 3.26, -0.31, nan, -67.25, 2.52
3.16, 3.25, -0.84, nan, -61.87, 2.50
3.16, 3.23, -1.63, nan, -48.42, 2.50
3.16, 3.21, -2.13, nan, -2.69, 2.52
3.16, 3.19, -2.88, nan, 521.86, 2.47
3.16, 3.18, -3.33, nan, 981.85, 2.50
3.16, 3.16, -3.91, nan, 1135.18, 2.50
3.16, 3.16, -4.24, nan, 1057.17, 2.52
3.16, 3.16, -4.63, nan, 823.14, 2.50
2.82, 3.16, -4.80, nan, 556.83, 2.50
2.82, 3.15, -4.94, nan, -1471.43, 2.52
2.82, 3.14, -4.96, nan, -1466.05, 2.47
2.82, 3.13, -4.94, nan, -949.57, 2.49
2.82, 3.12, -4.89, nan, -602.56, 2.50
2.82, 3.10, -4.80, nan, -395.43, 2.51
2.82, 3.09, -4.75, nan, -271.69, 2.50
2.82, 3.07, -4.65, nan, -180.23, 2.56
2.82, 3.05, -4.60, nan, -123.74, 2.46
2.82, 3.03, -4.56, nan, -99.53, 2.50
2.82, 3.01, -4.53, nan, -88.77, 2.49
2.82, 2.99, -4.56, nan, -59.18, 2.51
2.82, 2.97, -4.60, nan, -59.18, 2.47
2.82, 2.96, -4.75, nan, -59.18, 2.49
2.82, 2.94, -4.89, nan, -56.49, 2.51
2.82, 2.92, -5.16, nan, -45.73, 2.55
2.82, 2.90, -5.35, nan, -48.42, 2.49
2.82, 2.88, -5.64, nan, -51.11, 2.44
2.82, 2.86, -5.80, nan, 0.00, 2.53
2.82, 2.84, -6.07, nan, 511.10, 2.48
3.67, 2.83, -6.21, nan, 971.09, 2.49
3.67, 2.82, -6.38, nan, 2724.97, 2.54
3.67, 2.82, -6.45, nan, 2302.64, 2.49
3.67, 2.83, -6.45, nan, 1468.74, 2.46
3.67, 2.84, -6.35, nan, 914.60, 2.50
3.67, 2.86, -6.07, nan, 575.66, 2.51
3.67, 2.87, -5.80, nan, 376.60, 2.54
3.67, 2.89, -5.28, nan, 244.79, 2.45
3.67, 2.91, -4.84, nan, 166.78, 2.50
3.67, 2.93, -4.10, nan, 129.12, 2.53
3.67, 2.95, -3.55, nan, 104.91, 2.47
3.67, 2.96, -2.64, nan, 80.70, 2.49
3.67, 2.98, -1.99, nan, 67.25, 2.50
3.67, 3.00, -0.96, nan, 64.56, 2.50
3.67, 3.02, -0.26, nan, 64.56, 2.50
3.67, 3.04, 0.77, nan, 48.42, 2.50
3.67, 3.06, 1.41, nan, 53.80, 2.53
3.67, 3.08, 2.33, nan, 61.87, 2.48
3.67, 3.10, 2.88, nan, 51.11, 2.50
3.67, 3.11, 3.60, nan, 45.73, 2.51
3.37, 3.13, 4.03, nan, 51.11, 2.51
3.37, 3.15, 4.58, nan, -83.39, 2.48
3.37, 3.17, 4.89, nan, 104.91, 2.50
3.37, 3.19, 5.30, nan, 96.84, 2.50
3.37, 3.21, 5.54, nan, 86.08, 2.50
3.37, 3.23, 5.85, nan, 78.01, 2.52
3.37, 3.24, 6.02, nan, 56.49, 2.50
3.37, 3.26, 6.24, nan, 59.18, 2.49
3.37, 3.28, 6.38, nan, 61.87, 2.50
3.37, 3.30, 6.52, nan, 51.11, 2.50
3.37, 3.32, 6.62, nan, 21.52, 2.50
3.37, 3.34, 6.74, nan, -443.85, 2.50
3.37, 3.35, 6.81, nan, -885.01, 2.50
3.37, 3.37, 6.88, nan, -1097.52, 2.52
3.37, 3.37, 6.88, nan, -1051.79, 2.53
3.37, 3.38, 6.86, nan, -871.56, 2.46
3.37, 3.38, 6.79, nan, -605.25, 2.50
3.37, 3.38, 6.62, nan, -333.56, 2.50
3.37, 3.37, 6.45, nan, -131.81, 2.49
3.37, 3.37, 6.12, nan, -5.38, 2.54
3.19, 3.37, 5.88, nan, 99.53, 2.46
3.19, 3.37, 5.44, nan, -1409.56, 2.48
3.19, 3.36, 5.13, nan, -1285.82, 2.50
3.19, 3.35, 4.56, nan, -839.28, 2.49
3.19, 3.33, 4.12, nan, -529.93, 2.50
3.19, 3.31, 3.43, nan, -341.63, 2.49
3.19, 3.30, 2.90, nan, -234.03, 2.51
