setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
0.00,2.63,0.00,0.00,1.02,nan
0.00,2.63,0.00,-408.88,0.94,nan
0.00,2.63,0.00,-1640.90,2.58,nan
0.00,2.62,0.00,-1232.02,2.47,nan
0.00,2.60,-0.07,-804.31,2.53,nan
0.00,2.59,-0.17,-521.86,2.47,nan
0.00,2.57,-0.34,-347.01,2.50,nan
0.00,2.55,-0.50,-231.34,2.50,nan
0.00,2.53,-0.79,-158.71,2.50,nan
0.00,2.51,-1.03,-123.74,2.53,nan
0.00,2.50,-1.44,-102.22,2.47,nan
0.00,2.48,-1.73,-69.94,2.51,nan
0.00,2.46,-2.21,-61.87,2.48,nan
0.00,2.44,-2.54,-64.56,2.50,nan
0.00,2.42,-3.09,-51.11,2.61,nan
0.00,2.40,-3.45,-43.04,2.39,nan
0.00,2.38,-4.03,-53.80,2.54,nan
0.00,2.36,-4.36,-51.11,2.46,nan
0.00,2.34,-4.87,-40.35,2.51,nan
0.00,2.32,-5.16,-48.42,2.49,nan
0.00,2.30,-5.56,-48.42,2.50,nan
0.00,2.28,-5.80,-37.66,2.52,nan
0.00,2.27,-6.12,-40.35,2.49,nan
0.00,2.25,-6.28,-48.42,2.50,nan
0.00,2.23,-6.52,-34.97,2.52,nan
0.00,2.21,-6.67,-40.35,2.48,nan
0.00,2.19,-6.83,-48.42,2.50,nan
0.00,2.17,-6.93,-40.35,2.50,nan
0.00,2.15,-7.07,-40.35,2.53,nan
0.00,2.13,-7.15,-48.42,2.47,nan
0.00,2.11,-7.27,-43.04,2.50,nan
0.00,2.09,-7.31,-34.97,2.50,nan
0.00,2.07,-7.39,-45.73,2.51,nan
0.00,2.05,-7.43,-43.04,2.50,nan
0.00,2.03,-7.48,-34.97,2.50,nan
0.00,2.01,-7.53,-45.73,2.50,nan
0.00,1.99,-7.55,-45.73,2.50,nan
0.00,1.97,-7.58,-34.97,2.50,nan
0.00,1.95,-7.63,-37.66,2.50,nan
0.00,1.94,-7.63,-48.42,2.50,nan
0.00,1.91,-7.65,-34.97,2.50,nan
0.00,1.90,-7.67,-37.66,2.50,nan
0.00,1.88,-7.70,-48.42,2.49,nan
0.00,1.86,-7.70,-37.66,2.50,nan
0.00,1.84,-7.70,-37.66,2.50,nan
0.00,1.82,-7.72,-43.04,2.50,nan
0.00,1.80,-7.72,-43.04,2.50,nan
0.00,1.78,-7.72,-34.97,2.50,nan
0.00,1.76,-7.75,-45.73,2.50,nan
0.00,1.74,-7.75,-45.73,2.50,nan
0.00,1.72,-7.75,-37.66,2.52,nan
0.00,1.70,-7.75,-43.04,2.47,nan
0.00,1.68,-7.75,-48.42,2.50,nan
0.00,1.67,-7.77,-34.97,2.50,nan
0.00,1.65,-7.77,-37.66,2.50,nan
0.00,1.63,-7.77,-48.42,2.50,nan
0.00,1.61,-7.77,-34.97,2.50,nan
0.00,1.59,-7.77,-37.66,2.50,nan
0.00,1.57,-7.77,-48.42,2.50,nan
0.00,1.55,-7.79,-40.35,2.50,nan
0.00,1.53,-7.79,-34.97,2.50,nan
0.00,1.51,-7.79,-45.73,2.50,nan
0.00,1.49,-7.79,-43.04,2.48,nan
0.00,1.47,-7.79,-34.97,2.52,nan
0.00,1.45,-7.79,-45.73,2.56,nan
0.00,1.43,-7.79,-43.04,2.44,nan
0.00,1.42,-7.79,-37.66,2.50,nan
0.00,1.40,-7.79,-40.35,2.50,nan
0.00,1.38,-7.79,-45.73,2.51,nan
0.00,1.36,-7.79,-34.97,2.49,nan
0.00,1.34,-7.79,-40.35,2.56,nan
0.00,1.32,-7.82,-45.73,2.44,nan
0.00,1.30,-7.82,-37.66,2.52,nan
0.00,1.28,-7.82,-37.66,2.53,nan
0.00,1.26,-7.82,-43.04,2.48,nan
0.00,1.24,-7.82,-40.35,2.47,nan
0.00,1.22,-7.82,-34.97,2.53,nan
0.00,1.20,-7.82,-45.73,2.47,nan
0.00,1.18,-7.82,-43.04,2.53,nan
0.00,1.16,-7.82,-34.97,2.47,nan
0.00,1.14,-7.82,-43.04,2.53,nan
0.00,1.12,-7.82,-45.73,2.47,nan
0.00,1.10,-7.82,-34.97,2.51,nan
0.00,1.08,-7.82,-37.66,2.49,nan
0.00,1.06,-7.82,-48.42,2.50,nan
0.00,1.04,-7.82,-32.28,2.50,nan
0.00,1.02,-7.82,-37.66,2.50,nan
0.00,1.01,-7.82,-48.42,2.50,nan
0.00,0.99,-7.79,-34.97,2.50,nan
0.00,0.97,-7.79,-34.97,2.50,nan
0.00,0.95,-7.79,-45.73,2.49,nan
0.00,0.93,-7.79,-43.04,2.50,nan
0.00,0.91,-7.79,-34.97,2.50,nan
0.00,0.89,-7.79,-43.04,2.51,nan
0.00,0.87,-7.77,-40.35,2.49,nan
0.00,0.85,-7.77,-32.28,2.50,nan
0.00,0.83,-7.77,-45.73,2.50,nan
0.00,0.81,-7.77,-45.73,2.49,nan
0.00,0.79,-7.77,-34.97,2.50,nan
0.00,0.77,-7.77,-37.66,2.50,nan
0.00,0.75,-7.77,-48.42,2.49,nan
0.00,0.73,-7.77,-32.28,2.51,nan
0.00,0.71,-7.77,-37.66,2.49,nan
0.00,0.69,-7.77,-48.42,2.53,nan
0.00,0.67,-7.77,-34.97,2.47,nan
0.00,0.66,-7.77,-37.66,2.53,nan
0.00,0.64,-7.77,-43.04,2.50,nan
2.55,0.62,-7.77,-40.35,2.47,nan
2.55,0.60,-7.77,3020.87,2.53,nan
2.55,0.60,-7.75,2800.29,2.46,nan
2.55,0.60,-7.65,1815.75,2.55,nan
2.55,0.61,-7.51,1151.32,2.45,nan
2.55,0.63,-7.17,734.37,2.53,nan
2.55,0.64,-6.88,462.68,2.47,nan
2.55,0.66,-6.31,293.21,2.55,nan
2.55,0.68,-5.85,193.68,2.44,nan
2.55,0.70,-5.08,139.88,2.54,nan
2.55,0.71,-4.51,102.22,2.46,nan
2.55,0.73,-3.57,64.56,2.53,nan
2.55,0.75,-2.88,56.49,2.46,nan
2.55,0.77,-1.82,53.80,2.51,nan
2.55,0.79,-1.06,40.35,2.49,nan
2.55,0.81,0.05,32.28,2.51,nan
2.55,0.83,0.77,37.66,2.50,nan
2.55,0.85,1.77,29.59,2.49,nan
3.52,0.87,2.40,21.52,2.51,nan
3.52,0.89,3.24,32.28,2.51,nan
3.52,0.91,3.72,29.59,2.59,nan
3.52,0.93,4.36,21.52,2.40,nan
3.52,0.95,4.75,29.59,2.49,nan
3.52,0.97,5.23,34.97,2.53,nan
3.52,0.98,5.52,21.52,2.45,nan
3.52,1.00,5.88,26.90,2.50,nan
3.52,1.02,6.09,32.28,2.50,nan
3.52,1.04,6.35,24.21,2.50,nan
3.52,1.06,6.52,21.52,2.50,nan
3.52,1.08,6.71,32.28,2.52,nan
3.52,1.10,6.83,26.90,2.48,nan
3.52,1.12,6.98,21.52,2.50,nan
3.52,1.14,7.07,29.59,2.50,nan
3.52,1.16,7.17,26.90,2.53,nan
3.52,1.18,7.24,21.52,2.46,nan
3.52,1.20,7.31,26.90,2.54,nan
3.52,1.22,7.36,32.28,2.46,nan
3.52,1.24,7.43,18.83,2.54,nan
3.52,1.26,7.46,26.90,2.46,nan
3.52,1.28,7.51,32.28,2.53,nan
3.52,1.29,7.53,21.52,2.46,nan
3.52,1.31,7.58,26.90,2.50,nan
3.52,1.33,7.60,32.28,2.50,nan
3.52,1.35,7.63,24.21,2.54,nan
3.52,1.37,7.65,24.21,2.46,nan
3.52,1.39,7.65,32.28,2.53,nan
3.52,1.41,7.67,24.21,2.47,nan
3.52,1.43,7.70,18.83,2.50,nan
3.52,1.45,7.70,26.90,2.50,nan
3.52,1.47,7.72,26.90,2.50,nan
3.52,1.49,7.72,18.83,2.50,nan
3.52,1.51,7.75,26.90,2.50,nan
3.52,1.53,7.75,29.59,2.50,nan
3.52,1.55,7.75,16.14,2.50,nan
3.52,1.57,7.77,26.90,2.50,nan
3.52,1.59,7.77,32.28,2.50,nan
3.52,1.60,7.77,21.52,2.50,nan
3.52,1.63,7.79,24.21,2.51,nan
3.52,1.64,7.79,32.28,2.50,nan
3.52,1.66,7.79,24.21,2.53,nan
3.52,1.68,7.79,21.52,2.47,nan
3.52,1.70,7.79,32.28,2.50,nan
2.55,1.72,7.82,26.90,2.50,nan
2.55,1.74,7.82,21.52,2.50,nan
2.55,1.76,7.82,29.59,2.51,nan
2.55,1.78,7.82,26.90,2.53,nan
2.55,1.80,7.84,18.83,2.46,nan
2.55,1.82,7.84,26.90,2.53,nan
2.55,1.84,7.84,32.28,2.47,nan
2.55,1.86,7.84,16.14,2.53,nan
2.55,1.88,7.84,24.21,2.47,nan
2.55,1.90,7.84,32.28,2.50,nan
2.55,1.91,7.82,18.83,2.50,nan
2.55,1.93,7.82,21.52,2.50,nan
2.55,1.95,7.82,29.59,2.50,nan
2.55,1.97,7.82,21.52,2.51,nan
2.55,2.00,7.82,29.59,2.56,nan
2.55,2.01,7.82,29.59,2.43,nan
2.55,2.03,7.82,24.21,2.50,nan
2.55,2.05,7.79,18.83,2.50,nan
2.55,2.07,7.79,29.59,2.51,nan
2.55,2.09,7.79,29.59,2.51,nan
2.55,2.11,7.79,21.52,2.48,nan
2.55,2.13,7.79,26.90,2.50,nan
2.55,2.15,7.79,32.28,2.49,nan
2.55,2.17,7.79,16.14,2.52,nan
2.55,2.18,7.79,24.21,2.48,nan
2.55,2.21,7.79,32.28,2.50,nan
2.55,2.23,7.79,21.52,2.50,nan
2.55,2.25,7.79,24.21,2.50,nan
2.55,2.26,7.79,32.28,2.50,nan
2.55,2.28,7.79,26.90,2.50,nan
2.55,2.30,7.79,21.52,2.50,nan
2.55,2.32,7.79,29.59,2.50,nan
2.55,2.34,7.79,26.90,2.50,nan
2.55,2.36,7.79,18.83,2.50,nan
2.55,2.38,7.79,26.90,2.50,nan
2.55,2.40,7.79,29.59,2.50,nan
2.55,2.42,7.77,18.83,2.51,nan
2.55,2.44,7.77,26.90,2.52,nan
2.55,2.46,7.77,32.28,2.47,nan
2.55,2.48,7.77,16.14,2.53,nan
2.55,2.50,7.77,24.21,2.47,nan
2.55,2.52,7.77,-164.09,2.50,nan
2.55,2.53,7.77,-769.34,2.50,nan
2.55,2.55,7.75,-1100.21,2.53,nan
3.16,2.56,7.72,-1194.36,2.53,nan
3.16,2.56,7.63,699.40,2.45,nan
3.16,2.58,7.55,957.64,2.50,nan
3.16,2.59,7.39,659.05,2.53,nan
3.16,2.61,7.29,430.40,2.47,nan
3.16,2.62,7.12,274.38,2.50,nan
3.16,2.64,7.03,180.23,2.50,nan
3.16,2.66,6.88,129.12,2.51,nan
3.16,2.68,6.79,99.53,2.51,nan
3.16,2.70,6.69,67.25,2.50,nan
3.16,2.72,6.62,51.11,2.49,nan
3.16,2.74,6.52,51.11,2.50,nan
3.16,2.75,6.47,43.04,2.49,nan
3.16,2.77,6.47,29.59,2.56,nan
3.16,2.79,6.47,32.28,2.45,nan
3.16,2.81,6.57,34.97,2.50,nan
3.16,2.83,6.64,18.83,2.49,nan
3.16,2.85,6.76,29.59,2.50,nan
3.16,2.87,6.83,34.97,2.50,nan
3.16,2.89,6.95,24.21,2.50,nan
3.16,2.91,7.03,26.90,2.49,nan
3.16,2.93,7.12,32.28,2.50,nan
3.16,2.95,7.17,26.90,2.50,nan
3.16,2.97,7.24,18.83,2.52,nan
3.16,2.99,7.29,32.28,2.48,nan
3.16,3.01,7.34,24.21,2.49,nan
3.16,3.03,7.39,18.83,2.50,nan
3.16,3.04,7.41,29.59,2.49,nan
3.16,3.06,7.46,32.28,2.50,nan
3.16,3.08,7.48,18.83,2.50,nan
3.16,3.10,7.51,26.90,2.50,nan
3.16,3.12,7.53,-161.40,2.50,nan
3.16,3.14,7.53,-712.85,2.50,nan
3.16,3.15,7.55,-1124.42,2.50,nan
3.16,3.16,7.53,-1202.43,2.50,nan
3.16,3.17,7.48,-1046.41,2.50,nan
3.16,3.17,7.39,-809.69,2.50,nan
3.16,3.17,7.19,-484.20,2.50,nan
3.16,3.17,7.03,-212.51,2.51,nan
3.16,3.16,6.69,-75.32,2.50,nan
3.16,3.16,6.43,10.76,2.50,nan
3.16,3.16,5.97,129.12,2.70,nan
3.16,3.16,5.64,156.02,2.31,nan
3.16,3.16,5.08,131.81,2.49,nan
3.55,3.16,4.70,123.74,2.50,nan
3.55,3.16,4.12,1557.51,2.50,nan
3.55,3.17,3.74,1398.80,2.50,nan
3.55,3.18,3.19,933.43,2.50,nan
3.55,3.20,2.90,599.87,2.50,nan
3.55,3.21,2.54,381.98,2.50,nan
3.55,3.23,2.40,242.10,2.80,nan
3.55,3.25,2.30,161.40,2.21,nan
3.55,3.27,2.30,121.05,2.50,nan
3.55,3.28,2.42,91.46,2.50,nan
3.55,3.31,2.57,56.49,2.49,nan
3.55,3.32,2.83,53.80,2.53,nan
3.55,3.34,3.07,48.42,2.49,nan
3.55,3.36,3.48,37.66,2.48,nan
3.55,3.38,3.79,32.28,2.50,nan
3.55,3.40,4.27,37.66,2.53,nan
3.55,3.42,4.56,26.90,2.46,nan
3.55,3.44,5.01,21.52,2.53,nan
3.55,3.46,5.28,29.59,2.46,nan
3.55,3.48,5.64,26.90,2.53,nan
3.55,3.50,5.85,18.83,2.48,nan
3.55,3.52,6.12,-368.53,2.56,nan
3.55,3.53,6.28,-890.39,2.44,nan
3.55,3.55,6.47,-1121.73,2.52,nan
3.55,3.55,6.57,-1140.56,2.48,nan
3.55,3.56,6.64,-952.26,2.50,nan
3.55,3.56,6.62,-694.02,2.51,nan
3.55,3.56,6.50,-419.64,2.49,nan
3.55,3.56,6.38,-196.37,2.50,nan
3.55,3.55,6.12,-21.52,2.50,nan
3.55,3.55,5.88,48.42,2.50,nan
3.55,3.55,5.47,126.43,2.50,nan
3.55,3.55,5.16,156.02,2.56,nan
3.55,3.55,4.65,107.60,2.48,nan
3.55,3.55,4.29,112.98,2.46,nan
3.55,3.55,3.74,75.32,2.50,nan
3.55,3.55,3.38,34.97,2.50,nan
3.55,3.55,2.83,-18.83,2.50,nan
3.55,3.55,2.49,-34.97,2.50,nan
3.55,3.55,2.04,-21.52,2.62,nan
3.55,3.55,1.77,-13.45,2.39,nan
3.55,3.55,1.44,-8.07,2.53,nan
3.55,3.55,1.25,-2.69,2.46,nan
3.55,3.55,1.01,-2.69,2.50,nan
3.16,3.55,0.89,-2.69,2.50,nan
3.16,3.55,0.72,-1544.06,2.50,nan
3.16,3.54,0.62,-1420.32,2.52,nan
3.16,3.53,0.48,-946.88,2.49,nan
3.16,3.51,0.36,-616.01,2.49,nan
3.16,3.50,0.12,-400.81,2.50,nan
3.16,3.48,-0.05,-260.93,2.50,nan
3.16,3.46,-0.38,-180.23,2.53,nan
3.16,3.44,-0.62,-142.57,2.48,nan
3.16,3.42,-1.06,-104.91,2.54,nan
3.16,3.41,-1.34,-75.32,2.46,nan
3.16,3.39,-1.85,-67.25,2.49,nan
3.16,3.37,-2.18,-67.25,2.50,nan
3.16,3.35,-2.73,-45.73,2.50,nan
3.16,3.33,-3.12,-48.42,2.50,nan
3.16,3.31,-3.69,-53.80,2.53,nan
3.16,3.29,-4.05,-43.04,2.47,nan
3.16,3.27,-4.58,-40.35,2.53,nan
3.16,3.25,-4.89,-45.73,2.47,nan
3.16,3.23,-5.30,-43.04,2.50,nan
3.16,3.21,-5.56,-34.97,2.50,nan
3.16,3.19,-5.88,360.46,2.49,nan
3.16,3.18,-6.07,901.15,2.52,nan
3.16,3.16,-6.31,1191.67,2.50,nan
3.16,3.16,-6.40,1170.15,2.48,nan
3.16,3.15,-6.50,954.95,2.50,nan
3.16,3.15,-6.50,694.02,2.50,nan
3.16,3.15,-6.43,425.02,2.53,nan
3.16,3.15,-6.31,166.78,2.49,nan
3.16,3.16,-6.04,5.38,2.50,nan
3.16,3.16,-5.83,-88.77,2.47,nan
3.16,3.16,-5.42,-102.22,2.50,nan
3.16,3.16,-5.13,-137.19,2.50,nan
3.16,3.16,-4.63,-104.91,2.56,nan
3.16,3.16,-4.29,-104.91,2.44,nan
3.16,3.16,-3.72,-72.63,2.57,nan
3.16,3.16,-3.36,-18.83,2.42,nan
3.16,3.16,-2.81,0.00,2.53,nan
3.16,3.16,-2.47,18.83,2.47,nan
3.16,3.16,-2.01,10.76,2.53,nan
3.16,3.16,-1.75,0.00,2.47,nan
3.16,3.16,-1.41,0.00,2.55,nan
3.16,3.16,-1.22,0.00,2.45,nan
3.16,3.16,-1.01,2.69,2.54,nan
2.85,3.16,-0.89,0.00,2.46,nan
2.85,3.16,-0.72,-1546.75,2.60,nan
2.85,3.15,-0.65,-1406.87,2.40,nan
2.85,3.14,-0.60,-930.74,2.52,nan
2.85,3.12,-0.60,-602.56,2.48,nan
2.85,3.11,-0.70,-387.36,2.57,nan
2.85,3.09,-0.79,-266.31,2.44,nan
2.85,3.07,-1.01,-193.68,2.50,nan
2.85,3.05,-1.20,-134.50,2.50,nan
2.85,3.04,-1.53,-96.84,2.50,nan
2.85,3.02,-1.80,-83.39,2.50,nan
2.85,3.00,-2.23,-72.63,2.50,nan
2.85,2.98,-2.54,-53.80,2.50,nan
2.85,2.96,-3.05,-51.11,2.50,nan
2.85,2.94,-3.38,-59.18,2.51,nan
2.85,2.92,-3.93,-43.04,2.49,nan
2.85,2.90,-4.27,-29.59,2.50,nan
2.85,2.88,-4.77,500.34,2.50,nan
2.85,2.87,-5.06,1006.06,2.50,nan
2.85,2.85,-5.42,1210.50,2.51,nan
2.85,2.85,-5.61,1121.73,2.49,nan
2.85,2.84,-5.83,874.25,2.50,nan
2.85,2.84,-5.88,621.39,2.50,nan
2.85,2.84,-5.88,368.53,2.50,nan
2.85,2.85,-5.80,112.98,2.50,nan
2.85,2.85,-5.61,-10.76,2.50,nan
2.85,2.85,-5.42,-75.32,2.50,nan
2.85,2.85,-5.06,-110.29,2.50,nan
2.85,2.85,-4.77,-164.09,2.50,nan
2.85,2.85,-4.32,-145.26,2.52,nan
2.85,2.85,-3.98,-59.18,2.48,nan
2.85,2.85,-3.45,-53.80,2.52,nan
2.85,2.85,-3.12,-13.45,2.48,nan
2.85,2.85,-2.59,10.76,2.52,nan
2.85,2.85,-2.28,26.90,2.48,nan
2.85,2.85,-1.85,13.45,2.50,nan
2.85,2.85,-1.61,2.69,2.50,nan
2.85,2.85,-1.29,0.00,2.51,nan
2.85,2.85,-1.13,0.00,2.54,nan
2.85,2.85,-0.91,0.00,2.45,nan
2.85,2.85,-0.79,0.00,2.50,nan
2.85,2.85,-0.67,0.00,2.51,nan
2.85,2.85,-0.58,0.00,2.49,nan
2.85,2.85,-0.48,0.00,2.50,nan
3.39,2.85,-0.43,0.00,2.50,nan
3.39,2.85,-0.36,1519.85,2.50,nan
3.39,2.86,-0.31,1385.35,2.51,nan
3.39,2.87,-0.22,919.98,2.49,nan
3.39,2.89,-0.12,586.42,2.50,nan
3.39,2.91,0.05,371.22,2.50,nan
3.39,2.92,0.22,247.48,2.50,nan
3.39,2.94,0.53,174.85,2.52,nan
3.39,2.96,0.74,129.12,2.48,nan
3.39,2.98,1.15,83.39,2.50,nan
3.39,3.00,1.44,61.87,2.50,nan
3.39,3.02,1.92,59.18,2.50,nan
3.39,3.04,2.25,45.73,2.51,nan
3.39,3.06,2.81,32.28,2.49,nan
3.39,3.08,3.19,37.66,2.50,nan
3.39,3.09,3.74,34.97,2.50,nan
3.39,3.11,4.10,21.52,2.50,nan
3.39,3.13,4.63,29.59,2.50,nan
3.39,3.15,4.94,34.97,2.50,nan
3.39,3.17,5.35,21.52,2.53,nan
3.39,3.19,5.61,26.90,2.47,nan
3.39,3.21,5.92,34.97,2.54,nan
3.39,3.23,6.12,26.90,2.46,nan
3.39,3.25,6.38,24.21,2.50,nan
3.39,3.27,6.52,32.28,2.50,nan
3.39,3.29,6.69,29.59,2.50,nan
3.39,3.31,6.81,18.83,2.50,nan
3.39,3.33,6.93,29.59,2.49,nan
3.39,3.34,7.03,26.90,2.50,nan
3.39,3.37,7.12,-430.40,2.51,nan
3.39,3.38,7.17,-936.12,2.49,nan
3.39,3.39,7.24,-1202.43,2.50,nan
3.39,3.40,7.24,-1143.25,2.50,nan
3.39,3.40,7.19,-890.39,2.50,nan
3.39,3.41,7.10,-626.77,2.52,nan
3.39,3.40,6.91,-406.19,2.49,nan
3.39,3.40,6.74,-177.54,2.50,nan
3.39,3.40,6.40,-21.52,2.50,nan
3.39,3.40,6.12,69.94,2.49,nan
3.39,3.40,5.66,126.43,2.50,nan
3.39,3.39,5.32,156.02,2.51,nan
3.39,3.39,4.80,142.57,2.50,nan
3.39,3.39,4.41,107.60,2.48,nan
3.39,3.39,3.84,67.25,2.51,nan
3.25,3.39,3.43,18.83,2.49,nan
3.25,3.39,2.88,-1562.89,2.51,nan
3.25,3.38,2.52,-1428.39,2.49,nan
3.25,3.37,1.99,-941.50,2.50,nan
3.25,3.36,1.68,-613.32,2.50,nan
3.25,3.34,1.18,-392.74,2.53,nan
3.25,3.32,0.84,-274.38,2.47,nan
3.25,3.31,0.31,-188.30,2.50,nan
3.25,3.29,0.00,196.37,2.50,nan
3.25,3.27,-0.53,742.44,2.54,nan
3.25,3.26,-0.89,1084.07,2.46,nan
3.25,3.25,-1.41,1137.87,2.50,nan
3.25,3.24,-1.75,971.09,2.50,nan
3.25,3.24,-2.21,696.71,2.53,nan
3.25,3.24,-2.47,430.40,2.47,nan
3.25,3.24,-2.81,220.58,2.55,nan
3.25,3.25,-2.95,53.80,2.50,nan
3.25,3.25,-3.09,-18.83,2.45,nan
3.25,3.25,-3.12,-126.43,2.49,nan
3.25,3.25,-3.05,-164.09,2.50,nan
3.25,3.25,-2.95,-118.36,2.50,nan
3.25,3.25,-2.73,-99.53,2.50,nan
3.25,3.25,-2.54,-75.32,2.50,nan
3.25,3.25,-2.21,-43.04,2.50,nan
3.25,3.25,-1.97,0.00,2.52,nan
3.25,3.25,-1.63,10.76,2.48,nan
3.25,3.25,-1.41,18.83,2.50,nan
3.25,3.25,-1.13,8.07,2.50,nan
3.25,3.25,-0.98,0.00,2.52,nan
3.25,3.25,-0.77,0.00,2.49,nan
3.25,3.25,-0.67,0.00,2.50,nan
3.25,3.25,-0.55,0.00,2.52,nan
3.25,3.25,-0.48,0.00,2.49,nan
3.25,3.25,-0.38,0.00,2.50,nan
3.25,3.25,-0.36,0.00,2.52,nan
3.25,3.25,-0.26,0.00,5.24,nan
