setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
0.00,2.95,0.00,0.00,1.01,nan
0.00,2.95,0.00,-384.67,0.96,nan
0.00,2.94,0.00,-1659.73,2.56,nan
0.00,2.93,0.00,-1218.57,2.50,nan
0.00,2.92,-0.07,-798.93,2.49,nan
0.00,2.90,-0.17,-511.10,2.51,nan
0.00,2.89,-0.34,-338.94,2.48,nan
0.00,2.87,-0.50,-236.72,2.50,nan
0.00,2.85,-0.82,-172.16,2.52,nan
0.00,2.83,-1.06,-115.67,2.47,nan
0.00,2.81,-1.44,-94.15,2.56,nan
0.00,2.79,-1.75,-83.39,2.44,nan
0.00,2.77,-2.23,-69.94,2.53,nan
0.00,2.75,-2.57,-53.80,2.47,nan
0.00,2.73,-3.09,-59.18,2.53,nan
0.00,2.72,-3.48,-53.80,2.47,nan
0.00,2.70,-4.03,-43.04,2.52,nan
0.00,2.68,-4.39,-45.73,2.47,nan
0.00,2.66,-4.87,-51.11,2.50,nan
0.00,2.64,-5.16,-37.66,2.50,nan
0.00,2.62,-5.56,-43.04,2.55,nan
0.00,2.60,-5.78,-53.80,2.45,nan
0.00,2.58,-6.09,-37.66,2.51,nan
0.00,2.56,-6.26,-40.35,2.50,nan
0.00,2.54,-6.50,-48.42,2.50,nan
0.00,2.52,-6.64,-45.73,2.50,nan
0.00,2.50,-6.81,-40.35,2.50,nan
0.00,2.48,-6.91,-45.73,2.51,nan
0.00,2.46,-7.03,-45.73,2.50,nan
0.00,2.44,-7.10,-37.66,2.50,nan
0.00,2.43,-7.19,-45.73,2.53,nan
0.00,2.41,-7.27,-45.73,2.47,nan
0.00,2.39,-7.34,-34.97,2.49,nan
0.00,2.37,-7.39,-40.35,2.50,nan
0.00,2.35,-7.43,-48.42,2.50,nan
0.00,2.33,-7.46,-34.97,2.50,nan
0.00,2.31,-7.51,-37.66,2.50,nan
0.00,2.29,-7.53,-48.42,2.50,nan
0.00,2.27,-7.55,-34.97,2.50,nan
0.00,2.25,-7.58,-37.66,2.51,nan
0.00,2.23,-7.60,-51.11,2.53,nan
0.00,2.21,-7.63,-43.04,2.46,nan
0.00,2.19,-7.65,-37.66,2.54,nan
0.00,2.17,-7.65,-45.73,2.46,nan
0.00,2.15,-7.67,-45.73,2.50,nan
0.00,2.13,-7.67,-37.66,2.50,nan
0.00,2.12,-7.70,-45.73,2.55,nan
0.00,2.10,-7.70,-45.73,2.57,nan
0.00,2.08,-7.70,-37.66,2.38,nan
0.00,2.06,-7.72,-40.35,2.49,nan
0.00,2.04,-7.72,-51.11,2.50,nan
0.00,2.02,-7.72,-37.66,2.50,nan
0.00,2.00,-7.75,-40.35,2.51,nan
0.00,1.98,-7.75,-51.11,2.50,nan
0.00,1.96,-7.77,-37.66,2.49,nan
0.00,1.94,-7.77,-37.66,2.49,nan
0.00,1.92,-7.77,-45.73,2.54,nan
0.00,1.90,-7.77,-40.35,2.46,nan
0.00,1.88,-7.79,-34.97,2.50,nan
0.00,1.86,-7.79,-45.73,2.53,nan
0.00,1.84,-7.79,-43.04,2.49,nan
0.00,1.82,-7.79,-34.97,2.48,nan
0.00,1.81,-7.79,-45.73,2.50,nan
0.00,1.79,-7.79,-45.73,2.50,nan
0.00,1.76,-7.79,-40.35,2.66,nan
0.00,1.75,-7.82,-43.04,2.35,nan
0.00,1.73,-7.82,-48.42,2.49,nan
0.00,1.71,-7.82,-34.97,2.52,nan
0.00,1.69,-7.82,-37.66,2.52,nan
0.00,1.67,-7.82,-48.42,2.47,nan
0.00,1.65,-7.79,-34.97,2.50,nan
0.00,1.63,-7.79,-37.66,2.50,nan
0.00,1.61,-7.82,-48.42,2.56,nan
0.00,1.59,-7.82,-40.35,2.44,nan
