setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
0.00,3.24,0.00,-13.45,1.75,nan
0.00,3.24,0.00,-398.12,0.86,nan
0.00,3.23,0.00,-1635.52,2.62,nan
0.00,3.22,0.00,-1215.88,2.44,nan
0.00,3.21,-0.07,-790.86,2.52,nan
0.00,3.17,-0.34,-347.01,4.02,nan
0.00,3.17,-0.34,-309.35,1.19,nan
0.00,3.16,-0.50,-225.96,2.27,nan
0.00,3.11,-1.15,-110.29,5.93,nan
0.00,3.11,-1.29,-96.84,0.84,nan
0.00,3.10,-1.41,-96.84,0.92,nan
0.00,3.08,-1.70,-80.70,2.30,nan
0.00,3.07,-2.18,-64.56,2.51,nan
0.00,3.05,-2.52,-61.87,2.51,nan
0.00,3.03,-3.05,-61.87,2.48,nan
0.00,3.01,-3.41,-48.42,2.50,nan
0.00,2.99,-3.96,-45.73,2.50,nan
0.00,2.97,-4.32,-53.80,2.50,nan
0.00,2.95,-4.80,-48.42,2.50,nan
0.00,2.93,-5.08,-40.35,2.53,nan
0.00,2.91,-5.47,-53.80,2.50,nan
0.00,2.89,-5.68,-48.42,2.47,nan
0.00,2.87,-6.00,-40.35,2.54,nan
0.00,2.85,-6.16,-45.73,2.45,nan
0.00,2.83,-6.40,-48.42,2.50,nan
0.00,2.82,-6.55,-40.35,2.50,nan
0.00,2.79,-6.71,-43.04,2.53,nan
0.00,2.78,-6.81,-51.11,2.47,nan
0.00,2.76,-6.95,-37.66,2.49,nan
0.00,2.74,-7.03,-40.35,2.51,nan
0.00,2.72,-7.12,-51.11,2.49,nan
0.00,2.70,-7.17,-43.04,2.50,nan
0.00,2.66,-7.29,-37.66,4.38,nan
0.00,2.65,-7.31,-34.97,1.54,nan
0.00,2.61,-7.41,-43.04,5.28,nan
0.00,2.59,-7.43,-37.66,2.56,nan
0.00,2.57,-7.48,-48.42,2.50,nan
0.00,2.55,-7.51,-45.73,2.50,nan
0.00,2.53,-7.53,-37.66,2.51,nan
0.00,2.51,-7.55,-45.73,2.49,nan
0.00,2.50,-7.55,-48.42,2.51,nan
0.00,2.48,-7.58,-37.66,2.49,nan
0.00,2.46,-7.58,-37.66,2.49,nan
0.00,2.44,-7.58,-51.11,2.53,nan
0.00,2.42,-7.60,-40.35,2.48,nan
0.00,2.40,-7.60,-37.66,2.49,nan
0.00,2.38,-7.60,-43.04,2.49,nan
0.00,2.36,-7.60,-43.04,2.54,nan
