setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
0.00,3.14,0.00,0.00,2.01,nan
0.00,3.14,0.00,-406.19,0.76,nan
0.00,3.13,0.00,-1662.42,2.61,nan
0.00,3.12,0.00,-1213.19,2.44,nan
0.00,3.11,-0.07,-790.86,2.53,nan
0.00,3.09,-0.17,-519.17,2.47,nan
0.00,3.08,-0.34,-344.32,2.50,nan
0.00,3.06,-0.50,-239.41,2.49,nan
0.00,3.04,-0.79,-169.47,2.51,nan
0.00,3.02,-1.03,-121.05,2.54,nan
0.00,3.01,-1.41,-94.15,2.51,nan
0.00,2.98,-1.73,-86.08,2.45,nan
0.00,2.97,-2.21,-61.87,2.53,nan
0.00,2.95,-2.54,-56.49,2.48,nan
0.00,2.93,-3.07,-61.87,2.51,nan
0.00,2.91,-3.45,-43.04,2.48,nan
0.00,2.89,-4.00,-45.73,2.53,nan
0.00,2.87,-4.34,-48.42,2.47,nan
0.00,2.85,-4.84,-48.42,2.53,nan
0.00,2.83,-5.13,-37.66,2.47,nan
0.00,2.81,-5.52,-43.04,2.51,nan
0.00,2.79,-5.76,-43.04,2.50,nan
0.00,2.77,-6.07,-34.97,2.50,nan
0.00,2.75,-6.24,-43.04,2.49,nan
0.00,2.73,-6.47,-48.42,2.50,nan
0.00,2.71,-6.59,-34.97,2.50,nan
0.00,2.69,-6.79,-40.35,2.50,nan
0.00,2.67,-6.88,-48.42,2.50,nan
0.00,2.65,-7.03,-37.66,2.50,nan
0.00,2.63,-7.10,-37.66,2.50,nan
0.00,2.62,-7.19,-48.42,2.50,nan
0.00,2.60,-7.24,-43.04,2.50,nan
0.00,2.58,-7.31,-37.66,2.50,nan
0.00,2.56,-7.36,-43.04,2.50,nan
0.00,2.54,-7.41,-43.04,2.49,nan
0.00,2.52,-7.46,-32.28,2.50,nan
0.00,2.50,-7.51,-43.04,2.50,nan
0.00,2.48,-7.53,-43.04,2.50,nan
0.00,2.46,-7.55,-34.97,2.50,nan
0.00,2.44,-7.55,-37.66,2.49,nan
0.00,2.42,-7.58,-45.73,2.51,nan
0.00,2.40,-7.60,-34.97,2.50,nan
0.00,2.38,-7.63,-37.66,2.50,nan
0.00,2.37,-7.63,-45.73,2.50,nan
0.00,2.35,-7.65,-32.28,2.50,nan
0.00,2.33,-7.65,-37.66,2.50,nan
0.00,2.31,-7.65,-45.73,2.54,nan
0.00,2.29,-7.67,-37.66,2.48,nan
0.00,2.27,-7.67,-34.97,2.50,nan
0.00,2.25,-7.67,-45.73,2.51,nan
0.00,2.23,-7.70,-40.35,2.52,nan
0.00,2.21,-7.70,-34.97,2.47,nan
0.00,2.19,-7.70,-43.04,2.53,nan
0.00,2.17,-7.70,-45.73,2.47,nan
0.00,2.15,-7.72,-40.35,2.54,nan
0.00,2.13,-7.72,-40.35,2.47,nan
