setpoint [rad], position [rad], velocity [rad/s], acceleration [rad/s^2], current [mA], delta_t [ms]
0.00, 3.19, 0.00, nan, 0.00, 0.00
1.72, 3.19, 0.00, nan, -430.40, 0.57
1.72, 3.19, 0.00, nan, -1670.49, 2.55
1.72, 3.18, -0.02, nan, -1213.19, 2.50
1.72, 3.16, -0.07, nan, -782.79, 2.53
1.72, 3.15, -0.19, nan, -505.72, 2.48
1.72, 3.13, -0.31, nan, -341.63, 2.55
1.72, 3.11, -0.53, nan, -231.34, 2.48
1.72, 3.10, -0.74, nan, -156.02, 2.47
1.72, 3.08, -1.08, nan, -115.67, 2.50
1.72, 3.06, -1.34, nan, -102.22, 2.52
1.72, 3.04, -1.77, nan, -83.39, 2.48
1.72, 3.02, -2.09, nan, -61.87, 2.52
1.72, 3.00, -2.59, nan, -59.18, 2.49
1.72, 2.98, -2.95, nan, -59.18, 2.50
1.72, 2.96, -3.50, nan, -43.04, 2.49
1.72, 2.95, -3.86, nan, -45.73, 2.50
1.72, 2.93, -4.39, nan, -53.80, 2.50
1.72, 2.91, -4.72, nan, -45.73, 2.50
1.72, 2.89, -5.16, nan, -37.66, 2.55
1.72, 2.87, -5.42, nan, -48.42, 2.46
1.72, 2.85, -5.76, nan, -48.42, 2.50
1.72, 2.83, -5.97, nan, -40.35, 2.56
1.72, 2.81, -6.24, nan, -48.42, 2.46
1.72, 2.79, -6.38, nan, -45.73, 2.52
1.72, 2.77, -6.59, nan, -34.97, 2.48
1.72, 2.75, -6.71, nan, -40.35, 2.52
1.72, 2.73, -6.86, nan, -51.11, 2.46
1.72, 2.71, -6.95, nan, -37.66, 2.51
1.72, 2.69, -7.07, nan, -40.35, 2.50
1.72, 2.67, -7.12, nan, -45.73, 2.50
1.72, 2.66, -7.22, nan, -40.35, 2.48
1.72, 2.64, -7.27, nan, -37.66, 2.54
1.72, 2.62, -7.34, nan, -45.73, 2.46
1.72, 2.60, -7.36, nan, -48.42, 2.50
1.72, 2.58, -7.43, nan, -40.35, 2.49
1.72, 2.56, -7.46, nan, -45.73, 2.50
1.72, 2.54, -7.48, nan, -48.42, 2.49
1.72, 2.52, -7.51, nan, -34.97, 2.54
1.72, 2.50, -7.53, nan, -40.35, 2.45
1.72, 2.48, -7.55, nan, -51.11, 2.53
1.72, 2.46, -7.58, nan, -34.97, 2.48
1.72, 2.44, -7.58, nan, -37.66, 2.50
1.72, 2.42, -7.60, nan, -51.11, 2.50
1.72, 2.41, -7.60, nan, -40.35, 2.52
1.72, 2.39, -7.60, nan, -43.04, 2.48
1.72, 2.37, -7.63, nan, -45.73, 2.56
1.72, 2.35, -7.63, nan, -48.42, 2.47
1.72, 2.33, -7.63, nan, -40.35, 2.56
1.72, 2.31, -7.63, nan, -48.42, 2.41
1.72, 2.29, -7.65, nan, -48.42, 2.53
