setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
0.00,nan,nan,nan,1.36,nan
0.00,nan,nan,nan,34.23,nan
0.00,nan,nan,nan,34.19,nan
0.00,nan,nan,nan,34.21,nan
0.00,nan,nan,nan,34.17,nan
3.43,nan,nan,nan,34.25,nan
3.61,nan,nan,nan,34.21,nan
3.06,nan,nan,nan,34.32,nan
2.64,nan,nan,nan,34.26,nan
2.94,nan,nan,nan,34.28,nan
3.56,nan,nan,nan,34.46,nan
3.62,nan,nan,nan,34.23,nan
3.53,nan,nan,nan,34.17,nan
3.39,nan,nan,nan,34.25,nan
3.21,nan,nan,nan,34.30,nan
3.01,nan,nan,nan,34.30,nan
2.82,nan,nan,nan,34.48,nan
2.71,nan,nan,nan,34.24,nan
2.64,nan,nan,nan,34.22,nan
2.68,nan,nan,nan,34.16,nan
2.83,nan,nan,nan,38.99,nan
3.05,nan,nan,nan,34.46,nan
3.29,nan,nan,nan,34.20,nan
3.47,nan,nan,nan,34.17,nan
3.61,nan,nan,nan,34.24,nan
3.63,nan,nan,nan,34.18,nan
3.51,nan,nan,nan,34.16,nan
3.29,nan,nan,nan,34.20,nan
3.01,nan,nan,nan,34.18,nan
2.77,nan,nan,nan,34.24,nan
2.65,nan,nan,nan,34.33,nan
2.68,nan,nan,nan,34.28,nan
2.86,nan,nan,nan,34.30,nan
3.16,nan,nan,nan,34.31,nan
3.45,nan,nan,nan,34.33,nan
3.62,nan,nan,nan,34.31,nan
3.62,nan,nan,nan,35.37,nan
3.39,nan,nan,nan,34.38,nan
3.11,nan,nan,nan,34.41,nan
2.80,nan,nan,nan,34.37,nan
2.64,nan,nan,nan,34.46,nan
2.73,nan,nan,nan,34.35,nan
3.03,nan,nan,nan,34.41,nan
3.39,nan,nan,nan,34.31,nan
3.62,nan,nan,nan,34.41,nan
3.59,nan,nan,nan,34.32,nan
3.35,nan,nan,nan,34.34,nan
2.97,nan,nan,nan,35.21,nan
2.69,nan,nan,nan,34.37,nan
2.68,nan,nan,nan,34.26,nan
2.97,nan,nan,nan,34.32,nan
3.37,nan,nan,nan,34.46,nan
3.63,nan,nan,nan,34.39,nan
3.55,nan,nan,nan,34.31,nan
3.18,nan,nan,nan,36.03,nan
2.78,nan,nan,nan,34.38,nan
2.65,nan,nan,nan,34.35,nan
2.89,nan,nan,nan,34.38,nan
3.27,nan,nan,nan,34.41,nan
3.61,nan,nan,nan,34.24,nan
3.56,nan,nan,nan,34.22,nan
3.16,nan,nan,nan,34.20,nan
2.74,nan,nan,nan,34.20,nan
2.67,nan,nan,nan,34.23,nan
3.03,nan,nan,nan,34.33,nan
3.44,nan,nan,nan,34.23,nan
3.64,nan,nan,nan,34.26,nan
3.36,nan,nan,nan,34.25,nan
2.87,nan,nan,nan,34.27,nan
2.64,nan,nan,nan,34.23,nan
2.93,nan,nan,nan,34.24,nan
3.37,nan,nan,nan,34.31,nan
3.64,nan,nan,nan,34.26,nan
3.37,nan,nan,nan,34.20,nan
2.84,nan,nan,nan,34.17,nan
2.65,nan,nan,nan,34.19,nan
3.03,nan,nan,nan,34.19,nan
3.54,nan,nan,nan,34.19,nan
3.61,nan,nan,nan,34.19,nan
