setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
0.00,3.39,0.00,32.28,1.12,nan
0.00,3.39,0.00,-398.12,0.99,nan
0.00,3.39,0.00,-1635.52,2.62,nan
0.00,3.38,-0.02,-1210.50,2.45,nan
0.00,3.37,-0.07,-780.10,2.49,nan
0.00,3.35,-0.19,-508.41,2.52,nan
0.00,3.33,-0.31,-328.18,2.51,nan
0.00,3.31,-0.55,-223.27,2.49,nan
0.00,3.30,-0.74,-164.09,2.49,nan
0.00,3.28,-1.10,-126.43,2.49,nan
0.00,3.26,-1.37,-94.15,2.51,nan
0.00,3.24,-1.80,-69.94,2.50,nan
0.00,3.22,-2.11,-67.25,2.49,nan
0.00,3.20,-2.59,-53.80,2.58,nan
0.00,3.18,-2.95,-48.42,2.40,nan
0.00,3.16,-3.48,-48.42,2.50,nan
0.00,3.14,-3.84,-56.49,2.50,nan
0.00,3.13,-4.36,-53.80,2.54,nan
0.00,3.11,-4.68,-43.04,2.49,nan
0.00,3.09,-5.11,-48.42,2.47,nan
0.00,3.07,-5.35,-53.80,2.52,nan
0.00,3.05,-5.68,-40.35,2.48,nan
0.00,3.03,-5.88,-40.35,2.51,nan
0.00,3.02,-6.12,-48.42,2.54,nan
0.00,3.00,-6.28,-45.73,2.49,nan
0.00,2.98,-6.47,-37.66,2.46,nan
0.00,2.96,-6.59,-48.42,2.55,nan
0.00,2.94,-6.74,-48.42,2.45,nan
0.00,2.92,-6.81,-37.66,2.52,nan
0.00,2.90,-6.93,-48.42,2.57,nan
0.00,2.88,-6.98,-48.42,2.45,nan
0.00,2.86,-7.05,-43.04,2.52,nan
0.00,2.84,-7.12,-34.97,2.48,nan
0.00,2.83,-7.17,-48.42,2.47,nan
0.00,2.81,-7.22,-45.73,2.52,nan
0.00,2.78,-7.27,-37.66,2.48,nan
0.00,2.77,-7.29,-40.35,2.50,nan
0.00,2.75,-7.31,-48.42,2.50,nan
0.00,2.73,-7.34,-43.04,2.50,nan
0.00,2.71,-7.36,-40.35,2.50,nan
0.00,2.69,-7.39,-48.42,2.49,nan
0.00,2.67,-7.41,-48.42,2.52,nan
0.00,2.65,-7.41,-40.35,2.52,nan
0.00,2.63,-7.43,-43.04,2.49,nan
0.00,2.61,-7.46,-43.04,2.71,nan
0.00,2.60,-7.46,-40.35,2.29,nan
0.00,2.58,-7.48,-43.04,2.48,nan
0.00,2.56,-7.48,-48.42,2.51,nan
0.00,2.54,-7.51,-48.42,2.50,nan
0.00,2.52,-7.51,-37.66,2.49,nan
0.00,2.50,-7.51,-45.73,2.50,nan
0.00,2.48,-7.53,-51.11,2.50,nan
0.00,2.46,-7.53,-37.66,2.49,nan
0.00,2.44,-7.53,-40.35,2.53,nan
0.00,2.42,-7.53,-45.73,2.48,nan
0.00,2.41,-7.55,-45.73,2.54,nan
0.00,2.39,-7.55,-37.66,2.48,nan
0.00,2.37,-7.55,-51.11,2.56,nan
0.00,2.35,-7.55,-48.42,2.43,nan
0.00,2.33,-7.55,-37.66,2.50,nan
0.00,2.31,-7.58,-43.04,2.49,nan
0.00,2.29,-7.58,-45.73,2.52,nan
0.00,2.27,-7.58,-45.73,2.49,nan
0.00,2.25,-7.58,-34.97,2.51,nan
0.00,2.24,-7.60,-43.04,2.48,nan
0.00,2.22,-7.60,-45.73,2.48,nan
0.00,2.20,-7.60,-34.97,2.52,nan
0.00,2.18,-7.60,-43.04,2.48,nan
0.00,2.16,-7.60,-48.42,2.50,nan
0.00,2.14,-7.60,-37.66,2.49,nan
0.00,2.12,-7.60,-40.35,2.51,nan
0.00,2.10,-7.63,-48.42,2.49,nan
0.00,2.08,-7.63,-45.73,2.52,nan
0.00,2.06,-7.63,-34.97,2.49,nan
0.00,2.04,-7.63,-40.35,2.53,nan
0.00,2.02,-7.63,-51.11,2.48,nan
0.00,2.00,-7.63,-40.35,2.50,nan
0.00,1.99,-7.63,-37.66,2.54,nan
0.00,1.97,-7.63,-45.73,2.48,nan
0.00,1.95,-7.65,-45.73,2.48,nan
0.00,1.93,-7.65,-40.35,2.51,nan
0.00,1.91,-7.65,-45.73,2.49,nan
0.00,1.89,-7.65,-51.11,2.53,nan
0.00,1.87,-7.65,-37.66,2.46,nan
0.00,1.85,-7.65,-40.35,2.51,nan
0.00,1.83,-7.65,-48.42,2.50,nan
0.00,1.82,-7.67,-43.04,2.51,nan
0.00,1.79,-7.67,-43.04,2.59,nan
0.00,1.78,-7.67,-45.73,2.40,nan
0.00,1.76,-7.67,-45.73,2.51,nan
0.00,1.74,-7.67,-37.66,2.49,nan
0.00,1.72,-7.67,-40.35,2.44,nan
0.00,1.70,-7.70,-45.73,3.11,nan
0.00,1.68,-7.70,-40.35,1.97,nan
0.00,1.66,-7.70,-37.66,2.50,nan
0.00,1.64,-7.70,-45.73,2.50,nan
0.00,1.62,-7.70,-48.42,2.54,nan
0.00,1.60,-7.70,-34.97,2.46,nan
0.00,1.59,-7.70,-40.35,2.48,nan
0.00,1.57,-7.70,-51.11,2.51,nan
0.00,1.55,-7.70,-37.66,2.48,nan
0.00,1.53,-7.70,-40.35,2.52,nan
0.00,1.51,-7.70,-48.42,2.49,nan
