time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2],velocity_integrated[rad/s]
216.533,0.0,-0.08897,0.0,0.0,0.32395867,-190.36124,0.0
218.077,-0.19635,-0.08897,0.0,384.67,0.11013611,-227.15317,0.14848262
219.402,-0.19635,-0.08897,0.0,258.24,-0.28659382,-271.68002,0.36144656
220.645,-0.19635,-0.08744,0.0,-747.82,-0.4110715,-304.32547,0.20930958
221.999,-0.19635,-0.08897,0.0,-887.7,-0.95240384,-326.60126,-0.34431395
223.13,-0.19635,-0.09204,0.0,-796.24,-1.5319659,-305.62128,-0.820448
224.393,-0.19635,-0.09204,0.0,-672.5,-2.0661266,-288.55298,-1.2842027
225.645,-0.19635,-0.09664,0.0,-511.1,-2.1643355,-218.58228,-1.6546694
226.944,-0.19635,-0.09971,0.0,-400.81,-2.3200142,-153.52046,-1.9508122
228.139,-0.19635,-0.10278,-0.024,-250.17,-2.6487439,-117.34809,-2.1452925
229.39,-0.19635,-0.10431,-0.048,-185.61,-2.6630511,-111.995125,-2.2815826
230.646,-0.19635,-0.10891,-0.072,-118.36,-2.7649198,-76.7302,-2.3770292
232.029,-0.19635,-0.11351,-0.12,-45.73,-2.936144,-28.43814,-2.4337633
233.137,-0.19635,-0.11658,-0.168,-2.69,-3.0281088,-10.0846195,-2.4471757
234.389,-0.19635,-0.11965,-0.192,18.83,-2.869421,13.030086,-2.442124
235.646,-0.19635,-0.12425,-0.24,40.35,-2.751117,35.591293,-2.4235265
236.928,-0.19635,-0.12732,-0.264,61.87,-2.8087776,47.035896,-2.3907652
238.133,-0.19635,-0.13039,-0.36,102.22,-2.7896438,38.69499,-2.341333
239.38,-0.19635,-0.13346,-0.408,107.6,-2.706474,41.775547,-2.2759216
240.636,-0.19635,-0.13806,-0.456,104.91,-2.5758233,52.76558,-2.2091935
241.979,-0.19635,-0.14113,-0.528,110.29,-2.566444,53.025967,-2.13694
243.159,-0.19635,-0.14419,-0.624,131.81,-2.494516,46.178314,-2.0655205
244.424,-0.19635,-0.14573,-0.695,142.57,-2.4340098,49.171272,-1.9787478
245.685,-0.19635,-0.15033,-0.743,131.81,-2.3747225,81.28109,-1.8922496
247.088,-0.19635,-0.1534,-0.863,121.05,-2.3347435,111.60223,-1.803559
248.15,-0.19635,-0.15647,-0.935,115.67,-2.1890852,128.38841,-1.7407098
249.396,-0.19635,-0.158,-0.983,115.67,-1.8518298,127.543274,-1.6686474
250.639,-0.19635,-0.16107,-1.055,126.43,-1.6395038,115.44583,-1.5934148
252.021,-0.19635,-0.1626,-1.175,118.36,-1.580202,81.01056,-1.5088398
253.15,-0.19635,-0.16414,-1.247,110.29,-1.5793802,45.33931,-1.4443034
254.394,-0.19635,-0.16567,-1.295,99.53,-1.499078,46.24651,-1.3790493
255.628,-0.19635,-0.16874,-1.367,96.84,-1.5042577,60.826576,-1.3184692
256.932,-0.19635,-0.17027,-1.415,94.15,-1.4423516,73.71901,-1.2562065
258.133,-0.19635,-0.17181,-1.511,88.77,-1.2203758,76.18648,-1.2012848
259.41,-0.19635,-0.17334,-1.559,91.46,-1.137121,72.25964,-1.1437463
260.663,-0.19635,-0.17487,-1.607,96.84,-1.052841,49.407406,-1.0847614
261.932,-0.19635,-0.17487,-1.631,96.84,-1.0079839,24.476675,-1.0233164
263.125,-0.19635,-0.17794,-1.679,86.08,-1.0063798,23.984615,-0.96876043
264.401,-0.19635,-0.17794,-1.703,78.01,-1.0527161,26.914543,-0.91641575
265.64,-0.19635,-0.17948,-1.727,78.01,-1.0076324,37.892345,-0.86808854
266.95,-0.19635,-0.18101,-1.751,72.63,-0.87331116,56.07802,-0.81875396
268.128,-0.19635,-0.18254,-1.751,69.94,-0.829371,74.91414,-0.7767671
269.403,-0.19635,-0.18254,-1.751,69.94,-0.7448209,69.86469,-0.73218036
270.666,-0.19635,-0.18408,-1.751,56.49,-0.61461586,50.82177,-0.6922601
271.94,-0.19635,-0.18408,-1.751,56.49,-0.48131123,30.719702,-0.6562759
273.125,-0.19635,-0.18561,-1.727,59.18,-0.5277592,4.899919,-0.6220087
274.402,-0.19635,-0.18561,-1.703,59.18,-0.57246786,-20.264385,-0.58422226
275.652,-0.19635,-0.18561,-1.679,56.49,-0.6162822,-46.610012,-0.5480754
276.879,-0.19635,-0.18715,-1.679,53.8,-0.65754974,-45.74538,-0.51424396
278.123,-0.2393,-0.18868,-1.631,56.49,-0.7028313,-44.434784,-0.47994375
279.384,-0.2393,-0.18868,-1.607,-18.83,-0.8766327,-48.857277,-0.46807143
280.632,-0.2393,-0.19021,-1.559,-263.62,-0.82907873,-61.136417,-0.55619586
281.876,-0.2393,-0.19021,-1.535,-274.38,-0.8741376,-77.425606,-0.72351384
283.144,-0.2393,-0.19328,-1.487,-225.96,-0.9991797,-78.956635,-0.8821216
284.412,-0.2393,-0.19328,-1.463,-180.23,-1.1761073,-93.3746,-1.0108838
285.638,-0.2393,-0.19482,-1.415,-129.12,-1.3525621,-92.98673,-1.1056997
286.982,-0.2393,-0.19635,-1.391,-91.46,-1.35724,-65.590805,-1.1798145
288.127,-0.2393,-0.19942,-1.343,-48.42,-1.4852388,-30.810099,-1.2198552
289.403,-0.2393,-0.20095,-1.319,-26.9,-1.5786995,-8.491126,-1.2438822
290.651,-0.2393,-0.20249,-1.295,8.07,-1.451918,0.7076194,-1.2497572
291.954,-0.2393,-0.20402,-1.271,18.83,-1.3989546,15.088767,-1.2409945
293.122,-0.2393,-0.20709,-1.247,32.28,-1.4366976,24.274658,-1.2260704
294.402,-0.2393,-0.20709,-1.223,32.28,-1.4441421,25.055185,-1.2054112
295.659,-0.2393,-0.21016,-1.199,37.66,-1.404206,37.508205,-1.1834326
296.986,-0.2393,-0.21169,-1.199,48.42,-1.3119502,54.14565,-1.1548755
298.122,-0.2393,-0.21322,-1.175,56.49,-1.2286661,61.828697,-1.1250811
299.402,-0.2393,-0.21476,-1.151,61.87,-1.1453468,56.718204,-1.0872059
300.653,-0.2393,-0.21629,-1.151,64.56,-1.0606018,50.71408,-1.0476649
301.915,-0.2393,-0.21629,-1.151,67.25,-1.008262,41.157192,-1.0060788
303.123,-0.2393,-0.21936,-1.127,69.94,-1.005246,39.35342,-0.9646475
304.374,-0.2393,-0.21936,-1.127,75.32,-0.9201751,34.647896,-0.9192174
305.641,-0.2393,-0.22089,-1.127,69.94,-0.91791344,32.844555,-0.87320626
306.95,-0.2393,-0.22243,-1.127,64.56,-0.8102131,35.020855,-0.82919115
308.132,-0.2393,-0.22243,-1.127,61.87,-0.81797326,26.563797,-0.7918311
309.416,-0.2393,-0.22396,-1.127,59.18,-0.7862075,19.980799,-0.75297403
310.965,-0.2393,-0.2255,-1.127,59.18,-0.7073151,11.876482,-0.70713913
311.938,-0.2393,-0.2255,-1.127,61.87,-0.75475293,16.15921,-0.6776937
313.127,-0.2393,-0.22703,-1.127,51.11,-0.7623514,19.301947,-0.64411044
314.402,-0.2393,-0.22703,-1.127,51.11,-0.72463834,24.034914,-0.6115278
315.652,-0.2393,-0.22856,-1.127,53.8,-0.6584381,45.190147,-0.5787434
316.906,-0.2393,-0.2301,-1.127,53.8,-0.6125516,52.753407,-0.5450108
318.129,-0.2393,-0.2301,-1.103,48.42,-0.5698596,45.760296,-0.51375705
319.407,-0.2393,-0.2301,-1.103,48.42,-0.39539492,26.425451,-0.48281667
320.651,-0.2393,-0.23163,-1.103,45.73,-0.395055,12.429797,-0.453536
321.898,-0.2393,-0.23163,-1.103,48.42,-0.43927404,-1.1786375,-0.42418477
323.123,-0.2393,-0.23163,-1.079,51.11,-0.52572495,-6.0267563,-0.3937037
324.401,-0.2393,-0.23317,-1.079,45.73,-0.4833255,7.788545,-0.36276332
325.631,-0.2393,-0.23317,-1.055,48.42,-0.48256764,20.231241,-0.33381218
326.956,-0.2393,-0.2347,-1.055,45.73,-0.39474565,33.762466,-0.302625
328.123,-0.2393,-0.2347,-1.031,45.73,-0.34890166,32.396828,-0.27594155
329.402,-0.2393,-0.2347,-1.007,45.73,-0.35064337,32.375183,-0.24669722
330.651,-0.2393,-0.2347,-0.983,45.73,-0.2640892,32.32022,-0.21813883
331.989,-0.2393,-0.23623,-0.983,32.28,-0.2628139,32.02532,-0.19204448
333.124,-0.2393,-0.23623,-0.935,51.11,-0.22022602,33.71876,-0.16838257
334.404,-0.2393,-0.23623,-0.911,56.49,-0.13303863,20.102531,-0.13395056
335.651,-0.2393,-0.23623,-0.911,56.49,-0.13382274,7.386088,-0.09872905
336.902,-0.2393,-0.23623,-0.887,51.11,-0.088047914,-6.1623797,-0.065077156
338.124,-0.2393,-0.23623,-0.839,51.11,-0.17628688,-12.381875,0.03122821
339.402,-0.2393,-0.23777,-0.815,48.42,-0.22054318,-2.3988616,0.063028045
340.65,-0.2393,-0.23623,-0.791,48.42,-0.22027825,2.4982796,0.09324212
341.918,-0.2393,-0.23777,-0.791,40.35,-0.17610383,23.846033,0.121382214
343.122,-0.2393,-0.23777,-0.743,34.97,-0.08792701,32.69988,0.14405353
344.4,-0.2393,-0.23777,-0.719,32.28,-0.13213626,31.463562,0.021486375
345.65,-0.2393,-0.23777,-0.695,26.9,-2.5129414e-14,23.934029,0.039980125
346.915,-0.2393,-0.23777,-0.671,24.21,-2.5202496e-14,3.7812831,0.016163537
348.134,-0.2393,-0.23777,-0.647,18.83,-2.5051101e-14,-14.928447,0.01311644
349.382,-0.2393,-0.23777,-0.624,16.14,-2.5261941e-14,-38.73035,0.01091064
350.677,-0.2393,-0.23777,-0.6,16.14,-0.1310611,-43.921555,0.01045065
351.935,-0.2393,-0.23777,-0.576,10.76,-0.21800125,-26.363634,0.0189107
353.129,-0.2393,-0.23777,-0.528,8.07,-0.26238513,-2.6328657,0.024531456
354.403,-0.2393,-0.2393,-0.528,5.38,-0.26418275,30.179728,0.02881528
355.653,-0.2393,-0.2393,-0.504,8.07,-0.0872832,42.65113,0.033018406
356.902,-0.2393,-0.2393,-0.48,8.07,-0.04385034,48.789482,0.005039715
358.125,-0.2393,-0.2393,-0.456,5.38,0.04383326,33.886555,0.0041123377
359.405,-0.2393,-0.23777,-0.432,0.0,0.00031547275,3.8546216,0.0017216
360.652,-0.2393,-0.2393,-0.408,0.0,0.087965064,-3.6668541,0.0
361.91,-0.2393,-0.2393,-0.408,0.0,0.0006579757,-1.2386721,0.0
363.125,-0.2393,-0.2393,-0.36,0.0,-0.08695181,-0.019643987,0.0
364.405,-0.2393,-0.23777,-0.36,0.0,9.473227e-05,-9.981622,0.0
365.647,-0.2393,-0.2393,-0.336,0.0,0.08737806,11.166493,0.0
366.943,-0.2393,-0.2393,-0.312,0.0,0.00022886916,13.621204,0.0
368.134,-0.2393,-0.2393,-0.288,0.0,-0.08747814,-2.6322584,0.0
