time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2],velocity_integrated[rad/s]
249.477,0.0,-0.37276,0.0,0.0,0.45504352,341.56522,0.4550435176406967
251.205,-0.19635,-0.37276,0.0,871.56,1.2333766,481.02927,1.2333765745137901
252.823,-0.19635,-0.37122,0.0,1377.28,1.5937523,542.1179,1.5937523225847037
254.072,-0.19635,-0.36969,0.0,1145.94,2.6741855,637.4034,2.6741855767286293
255.086,-0.19635,-0.36509,0.0,989.92,3.173873,604.76917,3.1738729502001184
256.275,-0.19635,-0.36202,0.0,836.59,4.2480626,582.2349,4.248062698660928
257.518,-0.19635,-0.35588,0.024,632.15,5.063115,427.971,5.063115195315187
259.075,-0.19635,-0.34821,0.072,468.06,5.546674,270.40186,5.546673972554953
260.02,-0.19635,-0.34054,0.096,341.63,5.676419,79.89998,5.676418794276713
261.259,-0.19635,-0.33287,0.144,231.34,5.457605,-48.40999,5.457604884643134
262.518,-0.19635,-0.3252,0.192,104.91,5.263622,-109.58393,5.263621854255173
263.972,-0.19635,-0.3206,0.24,18.83,5.0723004,-113.455444,5.072300268338175
265.005,-0.19635,-0.316,0.312,-18.83,4.9486513,-105.42751,4.948651490848966
266.268,-0.19635,-0.30833,0.456,-91.46,4.919885,-134.48946,4.919885240076478
267.536,-0.19635,-0.30066,0.528,-145.26,4.817531,-170.86247,4.817530904856251
269.021,-0.19635,-0.29452,0.695,-174.85,4.558524,-196.95427,4.558524278936393
270.045,-0.19635,-0.28992,0.791,-209.82,4.0674443,-203.36736,4.06744452451871
271.273,-0.19635,-0.28685,0.887,-212.51,3.7954164,-182.81284,3.795416333317487
272.521,-0.19635,-0.28072,0.983,-209.82,3.6312797,-141.85283,3.6312797889590795
274.011,-0.19635,-0.27612,1.175,-225.96,3.5429008,-99.51076,3.5429008633211527
275.1,-0.19635,-0.27151,1.271,-212.51,3.482443,-83.60636,3.4824430765112884
276.279,-0.19635,-0.26845,1.367,-201.75,3.3791387,-107.33259,3.3791386633010356
277.542,-0.19635,-0.26384,1.487,-207.13,3.2315586,-140.66043,3.231558490989585
279.058,-0.19635,-0.25924,1.679,-209.82,3.122513,-159.7066,3.12251296738993
280.137,-0.2393,-0.25464,1.775,-196.37,2.7258158,-180.15239,2.7258157568560217
281.279,-0.2393,-0.25311,1.871,-277.07,2.5027568,-195.58388,2.5027568262102244
282.54,-0.2393,-0.2485,1.99,-500.34,2.365674,-220.07396,2.365674096520407
284.002,-0.2393,-0.2485,2.086,-519.17,2.0287926,-210.35062,2.028792504415214
285.052,-0.2393,-0.2439,2.278,-459.99,1.8025295,-231.05519,1.8025294915901067
286.266,-0.2393,-0.24083,2.374,-408.88,1.3826404,-250.8093,1.3826404075415872
287.527,-0.2393,-0.24083,2.446,-357.77,1.2273613,-226.10014,1.2273612744620515
289.019,-0.2393,-0.2393,2.59,-301.28,0.7466069,-188.76018,0.7466069078092783
290.088,-0.2393,-0.2393,2.662,-260.93,0.47405776,-134.99783,0.474057751469409
291.269,-0.2393,-0.23777,2.71,-220.58,0.52262264,-104.23321,0.5226226354831954
292.514,-0.2393,-0.23777,2.758,-166.78,0.44131568,-61.50622,0.4413156854033621
293.989,-0.2393,-0.23777,2.782,-139.88,0.39238107,-51.71317,0.3923810807547891
295.098,-0.2393,-0.23623,2.806,-104.91,0.25814518,-66.546646,0.2581451980017402
296.295,-0.2393,-0.23623,2.806,-80.7,0.2195204,-64.19911,0.21952039981622035
297.552,-0.2393,-0.23623,2.806,-51.11,0.13235751,-55.980232,0.1323575146498211
298.943,-0.2393,-0.23623,2.782,-34.97,-1.277185e-14,-39.21378,-1.2771850023974657e-14
300.001,-0.2393,-0.23623,2.758,-18.83,-1.29205084e-14,-26.96408,-1.292050875702897e-14
301.25,-0.2393,-0.23623,2.686,-2.69,-1.2965915e-14,-11.707115,-1.2965915298295971e-14
302.5,-0.2393,-0.23623,2.638,0.0,-1.25861735e-14,-11.349733,-1.2586173575995623e-14
303.754,-0.2393,-0.23623,2.59,5.38,-1.2653321e-14,-25.82898,-1.2653321251362243e-14
304.96,-0.2393,-0.23623,2.542,8.07,-1.22645255e-14,-37.73915,-1.226452521284588e-14
306.257,-0.2393,-0.23623,2.398,13.45,-0.12827413,-42.656513,-0.12827412806180377
307.517,-0.2393,-0.23623,2.35,16.14,-0.21485692,-36.884106,-0.214856923007669
308.92,-0.2393,-0.23623,2.278,18.83,-0.25900036,-17.743149,-0.2590003559390003
310.0,-0.2393,-0.23777,2.206,18.83,-0.25696218,5.6552157,-0.2569621881746669
311.3,-0.2393,-0.23777,2.038,18.83,-0.21774147,22.097109,-0.21774147776502645
312.53,-0.2393,-0.23777,1.966,18.83,-0.13060921,20.2607,-0.13060921693791344
313.95,-0.2393,-0.23777,1.894,13.45,-0.13061745,7.685383,-0.13061745247486797
314.988,-0.2393,-0.23777,1.799,13.45,-0.08351994,-5.6895595,-0.0835199406047947
316.27,-0.2393,-0.23777,1.655,10.76,-0.16992615,-11.860349,-0.16992615468871372
317.532,-0.2393,-0.2393,1.559,10.76,-0.21613932,-2.272176,-0.21613931275366854
