time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
293.211,0.0,0.3206,0.0,0.0,-1.574074,783.68304
294.183,-0.45252,0.31907,0.0,-414.26,-0.8123341,-87.81561
296.752,-0.45252,0.31753,0.0,-1651.66,-1.6636194,-258.8973
299.24,-0.45252,0.30986,0.0,-1248.16,-2.8589287,-556.44055
301.744,-0.45252,0.29759,-0.048,-871.56,-5.087888,-682.7398
304.263,-0.45252,0.27918,-0.144,-572.97,-6.617882,-557.54236
306.743,-0.45252,0.26078,-0.264,-368.53,-6.9970827,-208.40918
309.247,-0.45252,0.24544,-0.504,-250.17,-6.6952534,18.534126
311.752,-0.45252,0.22856,-0.695,-180.23,-6.56533,13.391781
314.242,-0.45252,0.21169,-1.031,-129.12,-6.9294734,-95.27418
316.756,-0.45252,0.19328,-1.271,-104.91,-7.368243,-142.7596
319.241,-0.45252,0.17334,-1.679,-96.84,-7.6076026,-128.01903
321.748,-0.45252,0.15493,-1.99,-91.46,-7.9164014,-62.027195
324.252,-0.45252,0.13346,-2.47,-72.63,-7.7824044,-29.241322
326.815,-0.45252,0.11505,-2.83,-48.42,-7.8983026,27.655369
329.243,-0.45252,0.09511,-3.381,-51.11,-7.6446357,58.331123
331.735,-0.45252,0.0767,-3.741,-53.8,-7.380443,67.17112
334.293,-0.45252,0.05983,-4.269,-34.97,-7.425583,18.887217
336.79,-0.45252,0.03835,-4.58,-37.66,-7.4703164,-21.619816
339.252,-0.45252,0.02148,-5.012,-43.04,-7.5462418,20.306046
341.74,-0.45252,0.00307,-5.276,-40.35,-7.2325177,29.882881
344.233,-0.45252,-0.01534,-5.612,-34.97,-7.3278728,19.330452
346.795,-0.45252,-0.03375,-5.803,-45.73,-7.351329,-18.244034
349.233,-0.45252,-0.05216,-6.067,-51.11,-7.3769298,-33.793102
351.737,-0.45252,-0.07056,-6.235,-34.97,-7.6006875,-62.64461
354.234,-0.45252,-0.0905,-6.427,-37.66,-7.7941737,-36.247383
356.732,-0.45252,-0.11045,-6.547,-43.04,-7.6142983,-0.8997976
359.232,-0.45252,-0.12732,-6.691,-37.66,-7.668159,13.660453
361.737,-0.45252,-0.1488,-6.787,-32.28,-7.6622725,-12.816082
364.238,-0.45252,-0.1672,-6.882,-37.66,-7.723174,34.239014
366.74,-0.45252,-0.18561,-6.954,-43.04,-7.3622093,53.832912
369.237,-0.45252,-0.20402,-7.026,-32.28,-7.333987,24.203632
371.773,-0.45252,-0.22243,-7.074,-32.28,-7.5288687,-56.76222
374.248,-0.45252,-0.24237,-7.146,-40.35,-7.7715755,-67.1969
376.767,-0.45252,-0.26231,-7.17,75.32,-7.8147,-2.5864146
379.243,-0.45252,-0.28072,-7.242,207.13,-7.5358787,80.277145
381.769,-0.45252,-0.29913,-7.266,282.45,-7.1943445,142.9397
384.241,-0.45252,-0.316,-7.29,352.39,-6.7397203,162.0726
386.764,-0.45252,-0.33134,-7.314,381.98,-6.3346605,213.5361
389.241,-0.45252,-0.34668,-7.314,381.98,-5.5537696,234.90729
391.791,-0.45252,-0.35742,-7.29,365.84,-5.0316644,258.8261
394.245,-0.45252,-0.36969,-7.242,333.56,-4.3515224,205.19957
396.763,-0.45252,-0.37889,-7.17,312.04,-4.0683613,218.47937
399.244,-0.45252,-0.3881,-7.05,301.28,-3.313267,190.86159
401.751,-0.45252,-0.39423,-6.93,244.79,-3.0119684,176.3471
404.244,-0.45252,-0.4019,-6.739,236.72,-2.7015648,115.91323
406.74,-0.45252,-0.40804,-6.595,199.06,-2.4515457,128.44545
409.261,-0.45252,-0.41264,-6.331,190.99,-2.0240965,98.21075
411.74,-0.45252,-0.41724,-6.139,169.47,-2.0261502,65.36103
414.241,-0.45252,-0.42338,-5.803,142.57,-1.9074546,56.46652
416.74,-0.45252,-0.42645,-5.588,126.43,-1.5946697,108.4318
419.243,-0.45252,-0.42951,-5.204,123.74,-1.2265465,96.477165
421.739,-0.45252,-0.43258,-4.964,107.6,-1.2264069,66.113
424.244,-0.45252,-0.43565,-4.58,94.15,-1.0436907,36.75451
426.738,-0.45252,-0.43718,-4.341,80.7,-0.9813592,46.461765
429.244,-0.45252,-0.44025,-3.957,72.63,-0.85991395,34.325207
431.74,-0.45252,-0.44179,-3.717,69.94,-0.7982323,46.75489
434.242,-0.45252,-0.44332,-3.381,75.32,-0.6121928,59.188576
436.757,-0.45252,-0.44485,-3.165,53.8,-0.42802173,58.832325
439.247,-0.45252,-0.44485,-2.878,56.49,-0.3688092,46.26485
441.739,-0.45252,-0.44639,-2.662,56.49,-0.24684387,12.008479
444.243,-0.45252,-0.44639,-2.398,40.35,-0.36859596,10.0222225
446.739,-0.45252,-0.44792,-2.23,40.35,-0.2446433,-9.638159
449.243,-0.45252,-0.44792,-1.99,32.28,-0.36839992,9.717522
451.74,-0.45252,-0.44946,-1.847,43.04,-0.24628171,12.082843
454.242,-0.45252,-0.44946,-1.631,53.8,-0.18456112,24.653364
456.748,-0.45252,-0.44946,-1.511,51.11,-0.18331645,0.38969228
459.25,-0.45252,-0.45099,-1.343,45.73,-0.24344458,19.78774
461.782,0.0675,-0.45099,-1.223,29.59,0.0006016037,125.91842
464.309,0.0675,-0.44946,-1.079,1562.89,0.7923913,346.73642
466.771,0.0675,-0.44485,-0.983,1441.84,2.399177,613.58075
469.269,0.0675,-0.43258,-0.815,1024.89,4.5655594,740.2125
471.772,0.0675,-0.41571,-0.695,683.26,6.2103596,570.18
474.25,0.0675,-0.39884,-0.432,438.47,6.58834,273.33496
476.746,0.0675,-0.3835,-0.216,277.07,6.7077794,77.3506
479.249,0.0675,-0.36509,0.12,188.3,6.8137465,67.37529
481.747,0.0675,-0.34821,0.384,145.26,7.1143527,68.47078
484.251,0.0675,-0.32981,0.815,121.05,7.17853,68.76187
486.748,0.0675,-0.3114,1.127,99.53,7.3654475,60.460693
489.245,0.0675,-0.29299,1.631,80.7,7.5557747,59.81914
491.743,0.0675,-0.27305,1.99,75.32,7.6130524,68.44357
494.244,0.0675,-0.25464,2.566,67.25,7.9163585,42.216534
496.743,0.0675,-0.23317,2.95,48.42,7.806374,7.989239
499.293,0.0675,-0.21476,3.525,51.11,7.717657,-46.116806
501.742,0.0675,-0.19635,3.909,56.49,7.560588,-46.398697
504.245,0.0675,-0.17641,4.436,48.42,7.4724665,-31.393097
506.739,0.0675,-0.15953,4.748,43.04,7.486591,-15.3101425
509.244,0.0675,-0.13959,5.18,37.66,7.4283376,28.65368
511.74,0.0675,-0.12118,5.42,-53.8,7.7306466,27.145601
514.241,0.0675,-0.10124,5.755,-190.99,7.6121826,-13.022929
516.74,0.0675,-0.08283,5.947,-279.76,7.359487,-127.76326
519.244,0.0675,-0.06596,6.187,-336.25,6.749835,-224.55075
521.739,0.0675,-0.05062,6.331,-368.53,5.944175,-304.19342
524.251,0.0675,-0.03835,6.499,-376.6,5.0903306,-306.73288
526.744,0.0675,-0.02761,6.571,-336.25,4.4772744,-245.04626
529.246,0.0675,-0.01687,6.643,-295.9,4.105648,-161.92271
