time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2],velocity_integrated[rad/s] 
278.574,0.0,-0.59212,0.0,0.0,0.3246696,336.77402,0.0
281.286,-0.06136,-0.59212,0.0,1511.78,1.1598055,520.36945,1.0247059
282.631,-0.06136,-0.59058,0.0,1452.6,1.7107494,568.75397,2.0212054
283.863,-0.06136,-0.58751,0.0,1218.57,2.679355,714.82654,2.8437002
285.082,-0.06136,-0.58445,0.0,1057.17,3.818195,679.4142,3.537042
286.342,-0.06136,-0.57831,0.024,922.67,4.6056175,683.12146,4.1605206
289.415,-0.06136,-0.56144,0.096,788.17,6.4615774,460.47034,5.474513
289.887,0.1488,-0.55837,0.096,761.27,6.7648635,399.01556,5.6572967
290.877,0.1488,-0.55223,0.144,680.57,6.7648635,399.01556,6.0140543
291.873,0.1488,-0.54456,0.192,583.73,7.506725,177.89131,6.3287787
292.865,0.1488,-0.53536,0.24,513.79,7.565583,100.316216,6.600889
293.884,0.1488,-0.52769,0.312,419.64,7.5710616,-8.559921,6.838615
295.09,0.1488,-0.52002,0.384,363.15,7.325076,-78.93472,7.0745616
296.363,0.1488,-0.50928,0.576,271.69,7.044468,-88.616295,7.276544
297.59,0.1488,-0.50161,0.671,239.41,7.1220217,-83.714424,7.433281
298.907,0.1488,-0.49241,0.791,166.78,7.1138167,-67.99908,7.5669823
300.077,0.1488,-0.48474,0.911,139.88,6.9255567,-67.89303,7.656656
301.343,0.1488,-0.474,1.151,110.29,6.838681,-90.08494,7.735813
302.586,0.1488,-0.46633,1.271,83.39,6.7348847,-78.741936,7.7959824
304.029,0.1488,-0.45713,1.415,78.01,6.593773,-28.482271,7.854192
305.078,0.1488,-0.45099,1.559,67.25,6.4733057,6.3183837,7.892276
306.37,0.1488,-0.44179,1.847,53.8,6.5760493,44.060642,7.931364
307.607,0.1488,-0.43412,2.014,59.18,6.8591447,71.87894,7.9662933
308.907,0.1488,-0.42491,2.158,51.11,6.838339,95.41205,8.002128
310.079,0.1488,-0.41724,2.326,51.11,6.955286,83.59214,8.03207
311.336,0.1488,-0.4065,2.662,56.49,7.0060525,78.54603,8.065874
312.608,0.1488,-0.40037,2.83,48.42,7.2671957,86.786255,8.099227
313.842,0.1488,-0.38963,2.998,64.56,7.219048,86.73403,8.134071
315.078,0.1488,-0.38196,3.165,67.25,7.412951,85.73763,8.174789
316.349,0.1488,-0.36969,3.525,64.56,7.4696355,81.443275,8.2166605
317.6,0.1488,-0.36355,3.693,78.01,7.610901,87.59372,8.261237
318.828,0.1488,-0.35128,3.861,64.56,7.692301,66.491455,8.304994
320.08,0.1488,-0.34515,4.029,64.56,7.833286,50.773205,8.345398
321.373,0.1488,-0.33134,4.365,59.18,7.8892107,9.302792,8.3853855
322.603,0.1488,-0.32367,4.508,40.35,7.8373146,-24.81115,8.415982
323.851,0.1488,-0.3114,4.652,45.73,7.846483,-56.06307,8.442832
325.079,0.1488,-0.30526,4.796,43.04,7.613636,-63.18096,8.4700775
326.351,0.1488,-0.29299,5.06,34.97,7.5611696,-41.247288,8.494878
327.605,0.1488,-0.28532,5.18,43.04,7.4714007,-3.650893,8.519327
328.825,0.1488,-0.27458,5.3,34.97,7.494286,40.166824,8.543114
330.078,0.1488,-0.26691,5.42,32.28,7.64002,57.265354,8.564174
331.33,0.1488,-0.25617,5.612,34.97,7.808924,56.05085,8.585217
332.603,0.1488,-0.2485,5.707,24.21,7.860905,23.663717,8.604046
333.828,0.1488,-0.2347,5.803,26.9,7.8627744,-23.614931,8.619695
335.081,0.1488,-0.22703,5.875,29.59,7.8048778,-58.345478,8.637385
336.363,0.1488,-0.21629,6.043,21.52,7.64403,-69.81745,8.653761
337.6,0.1488,-0.20862,6.115,32.28,7.492612,-57.782352,8.670394
338.813,0.1488,-0.19788,6.187,26.9,7.4470687,-22.629065,8.688335
340.078,0.1488,-0.19021,6.259,21.52,7.4301796,19.657087,8.703645
341.351,0.1488,-0.17794,6.379,29.59,7.503567,46.255447,8.719906
342.602,0.1488,-0.17181,6.451,24.21,7.6539626,59.602016,8.736727
343.811,0.1488,-0.16107,6.523,21.52,7.7452164,46.04249,8.7505455
345.078,0.1488,-0.15186,6.571,32.28,7.7581882,16.412918,8.767582
346.351,0.1488,-0.13959,6.667,26.9,7.845228,-13.262983,8.78641
347.606,0.1488,-0.13192,6.715,24.21,7.7066603,-35.87253,8.802442
348.836,0.1488,-0.12118,6.763,29.59,7.6273384,-42.27971,8.818981
350.078,0.1488,-0.11351,6.811,16.14,7.5947237,-51.62025,8.833176
351.328,0.1488,-0.10278,6.906,21.52,7.5066695,-40.19845,8.844941
352.601,0.1488,-0.09357,6.93,24.21,7.527304,-34.78183,8.859491
353.838,0.1488,-0.08283,6.978,21.52,7.4033875,-22.240711,8.87363
355.078,0.1488,-0.0767,7.002,26.9,7.409972,-13.567556,8.888636
356.35,0.1488,-0.06443,7.074,26.9,7.3783407,-13.07345,8.905739
357.578,0.1488,-0.05829,7.098,8.07,7.45994,-10.172303,8.9164715
358.836,0.1488,-0.04602,7.122,-37.66,7.401751,-30.614388,8.907168
360.079,0.1488,-0.03835,7.146,-91.46,7.3595095,-41.937183,8.867055
361.329,0.1488,-0.02761,7.17,-161.4,7.310839,-55.551865,8.788058
