time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2],velocity_integrated[rad/s]
284.846,0.0,-0.05062,0.0,0.0,6.1941927e-15,-29.0155,0.0
287.457,-0.2393,-0.05062,0.0,365.84,-1.8470222e-17,-148.57965,0.2387098
288.966,-0.2393,-0.05062,0.0,-650.98,-0.13437544,-211.08865,-0.10752751
290.024,-0.2393,-0.05062,0.0,-1358.45,-0.63007146,-360.19812,-0.6388164
291.307,-0.2393,-0.05062,0.0,-1484.88,-0.9636233,-401.60913,-1.5504621
292.516,-0.2393,-0.05216,0.0,-1336.93,-1.6557182,-465.807,-2.4030247
293.846,-0.2393,-0.05522,0.0,-1038.34,-2.19648,-480.7686,-3.1924968
295.013,-0.2393,-0.05829,0.0,-895.77,-2.9753397,-480.9665,-3.7565556
296.263,-0.2393,-0.06289,-0.024,-763.96,-3.5022657,-467.7363,-4.2750206
297.511,-0.2393,-0.06596,-0.024,-704.78,-4.0897446,-447.4839,-4.7330904
298.882,-0.2393,-0.07363,-0.048,-669.81,-4.545324,-394.23145,-5.204049
300.012,-0.2393,-0.07823,-0.072,-632.15,-5.1905317,-335.67816,-5.571711
301.276,-0.2393,-0.0859,-0.144,-486.89,-5.5848336,-255.12471,-5.925191
302.535,-0.2393,-0.09204,-0.192,-390.05,-5.833274,-162.6116,-6.2011013
303.958,-0.2393,-0.10278,-0.264,-215.2,-5.983172,-59.157402,-6.4163356
305.022,-0.2393,-0.10738,-0.312,-107.6,-5.913851,18.068478,-6.502167
306.323,-0.2393,-0.11658,-0.456,2.69,-5.8341684,94.4604,-6.536276
307.537,-0.2393,-0.12272,-0.552,83.39,-5.677898,149.73483,-6.510161
308.92,-0.2393,-0.13039,-0.624,169.47,-5.5215445,188.44688,-6.422768
310.054,-0.2393,-0.13652,-0.719,231.34,-5.112491,232.01634,-6.3091826
311.267,-0.2393,-0.14419,-0.935,309.35,-4.8940067,260.3781,-6.145282
312.557,-0.2393,-0.1488,-1.031,333.56,-4.523235,258.65182,-5.938023
313.981,-0.2393,-0.15493,-1.151,376.6,-4.0800023,229.00542,-5.685304
315.022,-0.2393,-0.15953,-1.247,371.22,-3.7890055,201.57599,-5.490759
316.335,-0.2393,-0.16414,-1.463,357.77,-3.6668088,157.90857,-5.2515607
317.517,-0.2393,-0.1672,-1.583,355.08,-3.510106,125.726685,-5.0409946
318.921,-0.2393,-0.17334,-1.703,317.42,-3.3410764,120.13042,-4.8050385
320.013,-0.2393,-0.17641,-1.799,290.52,-3.2813942,119.02457,-4.639135
321.302,-0.2393,-0.18101,-2.038,282.45,-3.0761633,115.719734,-4.4545665
322.522,-0.2393,-0.18408,-2.134,266.31,-2.860381,114.73681,-4.2872596
323.899,-0.2393,-0.18868,-2.254,234.03,-2.7958748,117.3464,-4.115084
325.015,-0.2393,-0.19021,-2.35,217.89,-2.6653948,112.09233,-3.989047
326.348,-0.2393,-0.19482,-2.566,215.2,-2.5109842,119.19189,-3.8447757
327.534,-0.2393,-0.19788,-2.662,220.58,-2.3476655,130.87859,-3.7156167
328.855,-0.2393,-0.20095,-2.758,207.13,-2.1991642,118.75757,-3.57442
330.005,-0.2393,-0.20249,-2.83,201.75,-1.9757961,107.447044,-3.4569125
331.293,-0.2393,-0.20555,-2.974,201.75,-1.8463813,106.48576,-3.3270357
332.536,-0.2393,-0.20709,-3.046,201.75,-1.8489927,93.89608,-3.2016964
333.85,-0.2393,-0.21016,-3.094,201.75,-1.7068946,80.25296,-3.069198
335.005,-0.2393,-0.21169,-3.141,199.06,-1.4757208,80.796036,-2.9535089
336.295,-0.2393,-0.21476,-3.213,172.16,-1.4845227,88.87179,-2.8338366
337.54,-0.2393,-0.21476,-3.237,161.4,-1.4016073,71.33185,-2.730056
338.91,-0.2393,-0.21629,-3.237,147.95,-1.2664834,57.305737,-2.6241448
340.005,-0.2393,-0.21936,-3.237,134.5,-1.1263907,71.32894,-2.5468538
341.287,-0.2393,-0.22089,-3.213,129.12,-1.1799704,68.74455,-2.4623964
342.535,-0.2393,-0.22089,-3.189,126.43,-1.1005523,60.9536,-2.3826954
343.926,-0.2393,-0.22243,-3.141,123.74,-0.8776644,58.920593,-2.2957325
345.011,-0.2393,-0.22396,-3.118,115.67,-0.8701359,58.383434,-2.2308176
346.264,-0.2393,-0.2255,-3.022,110.29,-0.83486277,45.895443,-2.160063
347.508,-0.2393,-0.2255,-2.974,102.22,-0.7494544,20.05077,-2.093998
348.936,-0.2393,-0.22703,-2.926,86.08,-0.74341947,18.021212,-2.0268009
350.005,-0.2393,-0.22703,-2.878,86.08,-0.69736785,20.554806,-1.9808089
351.284,-0.2393,-0.22856,-2.758,83.39,-0.7912963,27.780045,-1.9266417
352.534,-0.2393,-0.2301,-2.71,78.01,-0.7062397,42.725735,-1.8762237
353.863,-0.2393,-0.2301,-2.638,72.63,-0.6076516,40.201817,-1.8261929
355.016,-0.2393,-0.23163,-2.59,67.25,-0.51349086,40.261272,-1.7858881
356.317,-0.2393,-0.23163,-2.47,69.94,-0.43401062,25.048586,-1.7412843
357.585,-0.2393,-0.23163,-2.398,64.56,-0.52594984,6.216672,-1.6986642
359.046,-0.2393,-0.23317,-2.326,64.56,-0.48431125,1.0286543,-1.6515213
360.025,-0.2393,-0.23317,-2.278,67.25,-0.48791793,6.69235,-1.6192733
361.269,-0.2393,-0.2347,-2.158,59.18,-0.5359931,30.078386,-1.5799688
362.513,-0.2393,-0.2347,-2.086,56.49,-0.44670814,41.42147,-1.5440093
363.831,-0.2393,-0.2347,-2.014,45.73,-0.39305592,54.282738,-1.5103408
