time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
000295.618,0.00000,-0.38350,00.000,00000.00,nan,nan
000297.074,0.22550,-0.38350,00.000,00871.56,nan,nan
000299.664,0.22550,-0.38043,00.000,01519.85,nan,nan
000302.134,0.22550,-0.37122,00.000,01129.80,nan,nan
000304.641,0.22089,-0.35742,00.072,00807.00,nan,nan
000307.134,0.22089,-0.34054,00.144,00538.00,nan,nan
000309.633,0.21476,-0.32367,00.312,00357.77,nan,nan
000312.145,0.21476,-0.30680,00.480,00239.41,nan,nan
000314.650,0.20862,-0.29146,00.767,00177.54,nan,nan
000317.144,0.20862,-0.27305,01.007,00145.26,nan,nan
000319.671,0.20249,-0.25464,01.367,00126.43,nan,nan
000322.172,0.20249,-0.23470,01.655,00102.22,nan,nan
000324.639,0.19635,-0.21476,02.134,00086.08,nan,nan
000327.158,0.19635,-0.19482,02.470,00075.32,nan,nan
000329.648,0.18868,-0.17641,02.998,00059.18,nan,nan
000332.136,0.18868,-0.15800,03.357,00045.73,nan,nan
000334.674,0.18254,-0.13806,03.909,00048.42,nan,nan
000337.133,0.18254,-0.11965,04.245,00051.11,nan,nan
000339.635,0.17487,-0.10278,04.724,00045.73,nan,nan
000342.148,0.17487,-0.08590,05.012,00043.04,nan,nan
000344.673,0.16720,-0.06596,05.372,00056.49,nan,nan
000347.133,0.16720,-0.04755,05.588,00053.80,nan,nan
000349.664,0.15953,-0.02915,05.899,-0032.28,nan,nan
000352.128,0.15953,-0.00920,06.067,-0193.68,nan,nan
000354.654,0.15033,0.00920,06.283,-0290.52,nan,nan
000357.137,0.15033,0.02608,06.427,-0411.57,nan,nan
000359.643,0.14266,0.03988,06.571,-0433.09,nan,nan
000362.134,0.14266,0.05369,06.643,-0457.30,nan,nan
000364.655,0.13346,0.06443,06.691,-0408.88,nan,nan
000367.134,0.13346,0.07517,06.715,-0395.43,nan,nan
000369.654,0.12425,0.08283,06.667,-0365.84,nan,nan
000372.133,0.12425,0.08897,06.619,-0360.46,nan,nan
000374.657,0.11505,0.09357,06.499,-0317.42,nan,nan
000377.133,0.11505,0.09817,06.379,-0298.59,nan,nan
000379.656,0.10584,0.10278,06.163,-0247.48,nan,nan
000382.156,0.10584,0.10431,05.971,-0263.62,nan,nan
000384.633,0.09511,0.10584,05.659,-0220.58,nan,nan
000387.134,0.09511,0.10738,05.420,-0231.34,nan,nan
000389.631,0.08590,0.10738,05.012,-0172.16,nan,nan
000392.132,0.08590,0.10584,04.724,-0172.16,nan,nan
000394.654,0.07517,0.10584,04.293,-0115.67,nan,nan
000397.131,0.07517,0.10431,03.981,-0137.19,nan,nan
000399.656,0.06443,0.10278,03.525,-0096.84,nan,nan
000402.135,0.06443,0.09971,03.213,-0129.12,nan,nan
000404.661,0.05369,0.09817,02.782,-0083.39,nan,nan
000407.132,0.05369,0.09357,02.494,-0112.98,nan,nan
000409.657,0.04295,0.09204,02.086,-0056.49,nan,nan
000412.133,0.04295,0.08897,01.823,-0080.70,nan,nan
000414.656,0.03068,0.08437,01.463,-0045.73,nan,nan
000417.131,0.03068,0.08130,01.223,-0091.46,nan,nan
000419.656,0.01994,0.07670,00.887,-0040.35,nan,nan
000422.131,0.01994,0.07363,00.695,-0072.63,nan,nan
000424.656,0.00767,0.06903,00.408,-0037.66,nan,nan
